HHID,DistrictID,VillageID,weight,z,zdelib,zinfo,zelite,zoinfo,zspill,tinfo,H100,H200,H300,H400,H500,H600,H101,H201,H301,H401,H501,H601,X1010,X1020,X1030,X1040,X1050,X1060,X1070,X1080,X1090,X1100,X1110,X1120,X1130,X1140,X2010,X2020,X2030,X2040,X2050,X2060,X2070,X2080,X2090,X2100,X2110,X2120,X2130,X2140,X2150,X2160,X2170,X2180,X2190,X2200,X2210,X2220,X2230,X3010,X3020,X3030,X3040,X3050,X3060,X3070,X3080,X3090,X3100,X3110,X3120,X3130,X3140,X3150,X3160,X3170,X3180,X3190,X3200,X3210,X3220,X3230,X3240,X3250,X3260,X3270,X3280,X3290,X1,X2,X3,Xcitizen0,Xempsector0,X1011,X1021,X1031,X1041,X1051,X1061,X1071,X1081,X1091,X1101,X1111,X1121,X1131,X1141,X2011,X2021,X2031,X2041,X2051,X2061,X2071,X2081,X2091,X2101,X2111,X2121,X2131,X2141,X2151,X2161,X2171,X2181,X2191,X2201,X2211,X2221,X2231,X3011,X3021,X3031,X3041,X3051,X3061,X3071,X3081,X3091,X3101,X3111,X3121,X3131,X3141,X3151,X3161,X3171,X3181,X3191,X3201,X3211,X3221,X3231,X3241,X3251,X3261,X3271,X3281,X3291,Xcitizen1,Xempsector1,H610,H510,H520,H130,H140,H310,H320,H240,H330,H340,H350,H430,H440,H460,H260,H620,H630,H640,H650,H660,H670,H680,H690,consumption,H450,H370,H380,H110,H120,H210,H250,H360,H150,H220,H230,H410,H420,H530,H611,H511,H521,H131,H141,H311,H321,H241,H331,H341,H351,H431,H441,H461,H261,H621,H631,H641,H651,H661,H671,H681,H691,H451,H371,H381,H111,H121,H211,H251,H361,H151,H221,H231,H411,H421,H531,male,age,school,mod1,asst1,mod2,asst2,sample
110101,11,1101,17,0,0,0,,0.0,0.0,,-1.356183617077397,-0.6602047545358052,-0.5705417679535816,-0.290298472515385,-0.6721408488576013,0.6048025275397307,-1.356183617077397,0.0798978541411594,-0.05100691139363993,0.45847655607242616,0.5882896306695091,0.1752476057993412,-99,-99,1,1,1,-99,1,-99,-99,-99,1,1,0,1,1,3,1,1,0,0,1,0,4,3,,,2,,2,4,2,3,7,0,7,5,0,0,0,0,0,0,0,2,,3,2,2,,2,2,,3,3,2,2,3,2,4,4,4,4,4,4,0,0,-0.19406809530013902,7.7888682255310195,0.4297661917688696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,3.0,6.0,7.0,6.0,8.0,2.0,10,10,1,2,1,1,0,1,1,0,0,0,7.7888682255310195,3,4,4,1,1,7,2,1,,0.0,0.0,0,0,0.0,1,7,4,4,6,5.0,2.0,3.0,5.0,7.0,10.0,10,5,6,2,1,0,0,1,1,0,0,0,5,5,5,1,1,4,1,1,9,5.0,5.0,4,0,4.0,0,38,11,,,,,"Citizens"
110103,11,1101,3,0,0,0,,0.0,0.0,,-1.356183617077397,1.6298625000225528,-2.524298021568428,-0.3219123876896107,-0.4737831677549729,0.6601396727974058,0.12599472818408686,-0.23464872600093747,-0.7475586135699981,0.2988922823990927,-0.6721408488576013,1.9433557062708493,1,-99,0,1,0,-99,1,1,-99,-99,-99,1,1,7,1,3,1,1,0,0,1,0,1,1,,,1,,2,4,2,3,3,0,7,5,0,,0,1,1,0,0,8,3,3,3,3,2,4,4,2,2,2,2,2,2,2,2,2,3,3,2,4,0,1,0.09335150880554124,7.907547815871549,0.2890999992995689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,,,0.0,1.0,6.0,0.0,0.0,2.0,8,9,3,5,1,0,1,1,1,0,0,0,7.907547815871549,1,2,2,1,1,1,3,1,,8.0,5.0,2,0,0.0,0,7,1,7,1,9.0,5.0,8.0,7.0,10.0,9.0,8,10,7,5,1,1,1,1,1,1,,0,5,1,1,7,1,1,1,1,0,2.0,1.0,0,0,0.0,0,28,17,,,,,"Citizens"
110104,11,1101,7,0,0,0,,0.0,0.0,,0.40082431846855554,0.06513214955367903,0.3229410396187309,0.13821635240178579,-0.0770678055497161,0.6048025275397307,0.40082431846855554,-0.30533545993096306,-0.4269179059718264,0.6039973714813583,-0.6721408488576013,1.3684053798202762,-99,-99,-99,1,0,-99,1,0,0,0,1,1,1,4,1,3,1,1,0,0,1,0,1,2,,,1,,2,4,2,1,3,7,7,4,0,0,0,0,0,0,0,3,1,2,1,1,1,2,1,2,2,3,2,2,3,2,4,4,2,4,4,4,1,0,0.3621656867325004,7.754776454919583,-0.5815203109483599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,4,,,9.0,7.0,10.0,7.0,5.0,8.0,10,9,6,3,1,1,0,1,1,0,0,0,7.754776454919583,4,5,5,7,2,5,2,1,,0.0,2.0,0,0,0.0,1,7,1,7,7,4.0,4.0,4.0,5.0,8.0,4.0,5,5,5,2,1,1,0,1,1,0,0,1,4,4,5,7,2,1,2,1,5,5.0,4.0,5,5,0.0,0,38,14,,,,,"Citizens"
110105,11,1101,21,0,0,0,,0.0,0.0,,0.12599472818408686,-0.8316816411674233,-2.286349945520555,-0.34291005761056803,-0.6721408488576013,0.6048025275397307,0.12599472818408686,-0.27597950051442627,-0.0614937253975701,0.37922392119094434,0.7546289897243154,0.1752476057993412,1,-99,0,1,1,-99,1,-99,1,0,0,1,1,14,1,1,1,1,0,0,1,0,5,4,,,2,,2,4,2,4,6,1,7,7,0,0,0,0,0,0,0,2,4,1,,3,3,1,1,2,2,2,2,2,2,2,4,4,4,4,4,3,0,0,0.7105932771735832,8.208206941353914,-0.2524546969342953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,0.0,3.0,2.0,0.0,0.0,10.0,8,10,1,4,1,1,0,1,1,0,0,0,8.208206941353914,3,1,1,7,1,7,1,1,,0.0,0.0,0,0,0.0,1,7,4,7,1,6.0,5.0,5.0,5.0,5.0,5.0,5,5,1,1,1,0,0,1,1,0,0,0,5,5,3,7,1,2,1,7,5,5.0,5.0,4,5,5.0,0,23,24,,,,,"Citizens"
110106,11,1101,10,0,0,0,,0.0,0.0,,0.12599472818408686,0.4627655833150998,0.11512592615663934,-0.3336064650110766,-0.505801489802795,1.0896945945377954,1.774972269890899,-0.12356279670049362,-0.07252199525049632,0.692993245271311,1.11932602988175,1.3609416938475578,1,-99,1,1,1,1,1,-99,1,0,1,1,1,7,0,,1,1,1,0,1,0,3,2,9,,2,,7,4,2,1,5,3,7,7,0,,0,0,0,0,0,5,3,3,,2,2,4,4,,2,2,2,2,2,2,3,3,4,4,3,3,0,1,1.0646181048542585,7.582555576364944,0.2704333704127284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,5.0,10.0,8.0,3.0,10.0,6.0,10,10,1,5,1,1,1,1,1,0,0,0,7.582555576364944,2,5,4,7,1,7,3,1,,0.0,0.0,1,0,1.0,0,7,5,4,4,10.0,4.0,6.0,10.0,4.0,10.0,10,9,1,3,1,1,0,1,1,0,0,1,5,4,3,7,7,4,2,1,6,5.0,0.0,5,5,6.0,0,33,17,,,,,"Citizens"
110107,11,1101,7,0,0,0,,0.0,0.0,,0.12599472818408686,1.0998755390893202,-0.7719419427479873,-0.3336064650110766,-0.6721408488576013,1.0896945945377954,1.774972269890899,-0.9970358591912523,-0.39417257916010867,0.5086159907539733,1.1833626739773941,1.142841075260527,-99,-99,1,1,1,-99,1,-99,1,-99,1,0,1,13,1,3,1,1,0,0,1,0,1,1,,,1,,9,4,2,5,2,0,7,3,0,,,,1,0,0,9,,3,3,4,4,4,4,1,2,3,2,2,2,1,3,4,3,3,2,4,1,1,0.10600792114265752,7.693856234767281,1.2961509057562464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,0.0,9.0,9.0,10.0,3.0,5.0,10,10,1,5,1,1,1,1,1,0,0,0,7.693856234767281,2,4,2,7,1,6,2,1,,5.0,0.0,1,0,0.0,0,7,7,7,1,5.0,6.0,5.0,5.0,10.0,5.0,10,6,7,1,1,1,0,1,1,0,1,0,4,4,3,7,7,4,1,1,5,0.0,4.0,5,0,4.0,1,24,23,,,,,"Citizens"
110108,11,1101,14,0,0,0,,0.0,0.0,,0.12599472818408686,-0.1976593810298748,-1.0902634125025132,-0.2593854469046867,-1.0707125269354634,1.8532974468183412,0.12599472818408686,-0.1976593810298748,-0.3403332185569489,-0.1563265626077319,-0.33946213074798876,0.366050668442044,1,-99,1,1,1,-99,1,-99,1,-99,-99,1,1,13,1,3,1,1,1,0,1,0,4,2,17,,1,,2,4,2,3,7,7,7,7,0,0,0,,0,1,0,4,2,2,2,3,3,2,2,2,2,2,2,2,2,2,4,4,4,4,,3,0,1,0.09925893372031296,8.319731812705763,0.1397830775022058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,,,0.0,10.0,5.0,0.0,2.0,4.0,5,10,7,5,1,1,1,1,1,0,0,1,8.319731812705763,1,4,4,7,1,7,1,1,,0.0,0.0,0,0,0.0,1,7,1,1,1,5.0,10.0,5.0,6.0,6.0,10.0,10,6,1,5,0,0,1,1,1,0,,0,5,1,3,7,1,7,1,4,5,0.0,0.0,0,0,2.0,0,21,23,,,,,"Citizens"
110109,11,1101,7,0,0,0,,0.0,0.0,,0.12599472818408686,-0.5479674625248941,-1.577277344913623,-0.15428355064744148,1.0170233149225878,1.0896945945377954,0.2927939246294147,0.029722396495309857,-0.6589679455888515,0.8578781807896624,0.7546289897243154,0.6048025275397307,1,-99,1,1,1,1,1,-99,1,1,1,1,1,9,1,3,1,1,0,0,1,0,2,3,,,2,,2,4,2,3,6,7,7,7,0,0,0,0,0,0,0,2,1,3,1,1,4,1,3,2,,2,2,2,2,3,4,4,4,4,4,4,1,0,1.067684676163639,8.186626481248304,0.05303159399217717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,,,0.0,0.0,2.0,0.0,1.0,4.0,10,9,7,5,1,1,1,1,1,0,0,0,8.186626481248304,1,5,4,7,1,7,1,1,,0.0,0.0,0,0,3.0,1,7,4,7,4,4.0,5.0,5.0,5.0,3.0,6.0,5,5,7,1,1,1,0,1,1,0,0,0,5,3,5,1,7,4,1,2,4,5.0,5.0,5,5,5.0,1,37,19,,,,,"Citizens"
110110,11,1101,7,0,0,0,,0.0,0.0,,0.12599472818408686,-0.13106547817738456,-0.241309536036806,-0.5825902334410704,-0.6721408488576013,0.6601396727974058,-1.356183617077397,1.0328238913691603,1.1850928859533238,0.006357973607165591,-0.17312277169318246,0.8888282309594769,1,-99,1,1,1,-99,1,-99,1,0,1,1,1,7,1,1,1,1,0,0,1,0,3,2,,,3,,2,4,2,5,7,4,7,3,0,0,0,0,0,0,0,5,,3,3,3,2,2,2,2,2,2,2,2,,,4,4,4,4,4,3,0,1,0.7172119179187895,8.045940295967302,0.408450280245661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,,5.0,3.0,8.0,8.0,10.0,5.0,8,10,1,4,1,0,1,1,1,0,0,0,8.045940295967302,1,4,4,7,1,7,1,1,,0.0,0.0,0,0,0.0,-99,7,1,7,7,10.0,10.0,10.0,8.0,9.0,8.0,8,8,7,4,1,1,1,1,1,0,1,0,3,5,4,1,1,7,7,7,1,0.0,0.0,0,0,3.0,1,43,17,,,,,"Citizens"
110111,11,1101,7,0,0,0,,0.0,0.0,,0.12599472818408686,-1.5435534331258047,-1.324398772068648,-0.44142305954819927,0.5180052377581691,0.6601396727974058,0.12599472818408686,-0.9979957115607436,-0.17416385955842714,0.00623669967404476,1.6823807511418134,1.9692447587714659,1,1,1,1,1,1,1,0,1,-99,1,1,1,11,1,3,1,1,0,0,1,0,2,3,,,1,,7,4,2,3,7,3,7,4,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,4,3,3,3,3,3,0,1,1.7480043310587356,7.859467348142317,-0.061709194946670834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,,,0.0,5.0,0.0,5.0,2.0,0.0,5,10,2,5,1,0,1,1,1,0,0,0,7.859467348142317,1,4,4,7,1,1,2,1,,0.0,0.0,2,0,0.0,1,7,7,7,4,4.0,9.0,6.0,8.0,6.0,8.0,9,7,7,5,1,0,1,1,1,0,1,1,3,4,3,7,1,1,1,1,0,0.0,0.0,0,0,7.0,0,31,17,,,,,"Citizens"
