bias,trial,metric_space,cyclic_start,condorcet_start,unique_start,intransative_start,consensus_dist_start,proximity_to_sp_start,cyclic_end,condorcet_end,unique_end,intransative_end,consensus_dist_end,proximity_to_sp_end,opposing
0.45,0,KS,false,true,6,false,39.,false,0.745098039216,false,true,1,false,1.,false,1.
0.46,0,KS,false,true,6,false,39.,false,0.705882352941,false,true,1,false,1.,false,1.
0.47,0,KS,false,true,6,false,39.,false,0.745098039216,false,true,1,false,1.,false,1.
0.48,0,KS,false,true,6,false,39.,false,0.745098039216,false,true,1,false,1.,false,1.
0.49,0,KS,false,true,6,false,39.,true,0.78431372549,false,true,1,false,1.,false,1.
0.5,0,KS,false,true,6,false,39.,false,0.764705882353,false,true,2,false,39.,false,1.
0.51,0,KS,false,true,6,false,39.,false,0.686274509804,false,true,2,false,39.,false,1.
0.52,0,KS,false,true,6,false,39.,true,0.705882352941,false,true,2,false,39.,false,1.
0.53,0,KS,false,true,6,false,39.,true,0.745098039216,false,true,2,false,39.,false,1.
0.54,0,KS,true,false,6,true,39.,false,0.705882352941,false,true,2,false,39.,false,1.
0.55,0,KS,false,true,6,false,39.,false,0.725490196078,false,true,2,false,39.,false,1.
0.56,0,KS,false,true,6,false,39.,false,0.725490196078,false,true,2,false,39.,false,1.
0.57,0,KS,false,true,6,false,39.,false,0.686274509804,false,true,2,false,39.,false,1.
0.58,0,KS,false,true,6,false,39.,true,0.745098039216,false,true,2,false,39.,false,1.
0.59,0,KS,true,false,6,true,39.,false,0.725490196078,false,true,2,false,39.,false,1.
0.6,0,KS,false,true,6,false,39.,true,0.78431372549,false,true,2,false,39.,false,1.
0.61,0,KS,false,true,6,false,39.,false,0.686274509804,false,true,2,false,39.,false,1.
0.62,0,KS,false,true,6,false,39.,false,0.764705882353,false,true,2,false,39.,false,1.
0.63,0,KS,false,true,6,false,39.,false,0.764705882353,false,true,2,false,39.,false,1.
0.64,0,KS,false,true,6,false,39.,true,0.78431372549,false,true,2,false,39.,false,1.
0.65,0,KS,false,true,6,false,39.,false,0.725490196078,false,true,2,false,39.,false,1.
0.66,0,KS,false,true,6,false,39.,false,0.745098039216,false,true,2,false,39.,false,1.
0.67,0,KS,false,true,6,false,39.,false,0.745098039216,false,true,2,false,39.,false,1.
0.68,0,KS,false,true,6,false,39.,false,0.823529411765,false,true,2,false,39.,false,1.
0.69,0,KS,false,true,6,false,39.,true,0.666666666667,false,true,2,false,39.,false,1.
0.7,0,KS,false,true,6,false,39.,false,0.764705882353,false,true,2,false,39.,false,1.
0.71,0,KS,false,true,6,false,39.,false,0.764705882353,false,true,2,false,39.,false,1.
0.72,0,KS,false,true,6,false,39.,false,0.764705882353,false,true,2,false,39.,false,1.
0.73,0,KS,false,true,6,false,39.,true,0.78431372549,false,true,2,false,39.,false,1.
0.74,0,KS,false,true,6,false,39.,false,0.745098039216,false,true,2,false,39.,false,1.
0.75,0,KS,false,true,6,false,39.,false,0.686274509804,false,true,3,false,39.,false,1.
0.76,0,KS,false,true,6,false,39.,false,0.725490196078,false,true,3,false,39.,false,0.823529411765
0.77,0,KS,false,true,6,false,39.,true,0.705882352941,false,true,3,false,39.,false,1.
0.78,0,KS,false,true,6,false,39.,false,0.686274509804,false,true,3,false,39.,false,1.
0.79,0,KS,false,true,6,false,39.,false,0.686274509804,false,true,3,false,39.,false,1.
0.8,0,KS,false,true,6,false,39.,false,0.705882352941,false,true,3,false,39.,false,0.843137254902
0.81,0,KS,false,true,6,false,39.,false,0.725490196078,false,true,3,false,39.,false,1.
0.82,0,KS,false,true,6,false,39.,false,0.745098039216,false,true,3,false,39.,false,0.764705882353
0.83,0,KS,false,true,6,false,39.,false,0.78431372549,false,true,3,false,39.,false,1.
0.84,0,KS,false,true,6,false,39.,true,0.705882352941,false,true,6,false,39.,false,0.705882352941
0.85,0,KS,false,true,6,false,39.,false,0.686274509804,false,true,6,false,39.,false,0.686274509804
0.86,0,KS,false,true,6,false,39.,false,0.745098039216,false,true,6,false,39.,false,0.745098039216
0.87,0,KS,false,true,6,false,39.,false,0.725490196078,false,true,6,false,39.,false,0.725490196078
0.88,0,KS,false,true,6,false,39.,false,0.764705882353,false,true,6,false,39.,false,0.764705882353
0.89,0,KS,false,true,6,false,39.,false,0.705882352941,false,true,6,false,39.,false,0.705882352941
0.9,0,KS,false,true,6,false,39.,false,0.764705882353,false,true,6,false,39.,false,0.764705882353
0.91,0,KS,true,false,6,true,39.,true,0.705882352941,true,false,6,true,39.,false,0.705882352941
0.92,0,KS,false,true,6,false,39.,true,0.745098039216,false,true,6,false,39.,false,0.745098039216
0.93,0,KS,false,true,6,false,39.,true,0.78431372549,false,true,6,false,39.,false,0.78431372549
0.94,0,KS,false,true,6,false,39.,false,0.725490196078,false,true,6,false,39.,false,0.725490196078
0.95,0,KS,false,true,6,false,39.,false,0.745098039216,false,true,6,false,39.,false,0.745098039216
0.96,0,KS,false,true,6,false,39.,false,0.803921568627,false,true,6,false,39.,true,0.803921568627
0.97,0,KS,true,false,6,true,39.,false,0.666666666667,true,false,6,true,39.,false,0.666666666667
0.98,0,KS,false,true,6,false,39.,false,0.764705882353,false,true,6,false,39.,false,0.764705882353
0.45,1,KS,false,true,6,false,39.,false,0.705882352941,false,true,1,false,1.,false,1.
0.46,1,KS,true,false,6,true,39.,false,0.666666666667,false,true,1,false,1.,false,1.
0.47,1,KS,false,true,6,false,39.,false,0.764705882353,false,true,1,false,1.,false,1.
