bias,cand_sampler,n_voters,n_candidates,time_steps,trial,cyclic_start,condorcet_start,unique_start,intransative_start,cyclic_end,condorcet_end,unique_end,intransative_end,cyclic_true,condorcet_true,unique_true,intransative_true
0.1,Sample,10,3,50.,1,false,true,3,false,false,true,2,false,false,true,2,false
0.1,Sample,10,3,50.,2,false,true,2,false,false,true,1,false,false,true,1,false
0.1,Sample,10,3,50.,3,false,true,4,false,false,true,1,false,false,true,2,false
0.1,Sample,40,3,50.,1,false,true,6,false,false,true,1,false,false,true,1,false
0.1,Sample,40,3,50.,2,false,true,3,false,false,true,1,false,false,true,1,false
0.1,Sample,40,3,50.,3,false,true,5,false,false,true,4,false,false,true,2,false
0.1,Sample,70,3,50.,1,false,true,4,false,false,true,1,false,false,true,2,false
0.1,Sample,70,3,50.,2,false,true,6,false,false,true,1,false,false,true,4,false
0.1,Sample,70,3,50.,3,false,true,6,false,false,true,3,false,false,true,6,false
0.1,Sample,100,3,50.,1,false,true,6,false,false,true,1,false,false,true,3,false
0.1,Sample,100,3,50.,2,false,true,5,false,false,true,4,false,false,true,5,false
0.1,Sample,100,3,50.,3,false,true,5,false,false,true,3,false,false,true,1,false
0.1,Sample,130,3,50.,1,false,true,6,false,false,true,1,false,false,true,2,false
0.1,Sample,130,3,50.,2,false,true,5,false,false,true,4,false,false,true,2,false
0.1,Sample,130,3,50.,3,false,true,5,false,false,true,1,false,false,true,1,false
0.1,Sample,10,5,50.,1,false,true,9,false,false,true,4,false,false,true,3,false
0.1,Sample,10,5,50.,2,false,true,6,false,false,true,4,false,false,true,2,false
0.1,Sample,10,5,50.,3,false,true,8,false,false,true,1,false,false,true,6,false
0.1,Sample,40,5,50.,1,false,true,12,false,false,true,12,false,false,true,2,false
0.1,Sample,40,5,50.,2,false,true,11,false,false,true,5,false,false,true,3,false
0.1,Sample,40,5,50.,3,false,true,8,false,false,true,1,false,false,true,1,false
0.1,Sample,70,5,50.,1,false,true,19,false,false,true,3,false,false,true,7,false
0.1,Sample,70,5,50.,2,false,true,11,false,false,true,1,false,false,true,2,false
0.1,Sample,70,5,50.,3,false,true,16,false,false,true,1,false,false,true,5,false
0.1,Sample,100,5,50.,1,false,true,17,false,false,true,1,false,false,true,2,false
0.1,Sample,100,5,50.,2,false,true,21,false,false,true,12,false,false,true,6,false
0.1,Sample,100,5,50.,3,false,true,19,false,false,true,1,false,false,true,3,false
0.1,Sample,130,5,50.,1,false,true,27,false,false,true,9,false,false,true,8,false
0.1,Sample,130,5,50.,2,false,true,16,false,false,true,7,false,false,false,3,false
0.1,Sample,130,5,50.,3,false,true,20,false,false,true,1,false,false,true,6,false
0.1,Sample,10,7,50.,1,false,true,9,false,false,true,4,false,false,true,3,false
0.1,Sample,10,7,50.,2,false,true,7,false,false,true,1,false,false,true,4,false
0.1,Sample,10,7,50.,3,false,true,10,false,false,true,3,false,false,false,6,false
0.1,Sample,40,7,50.,1,false,true,17,false,false,true,1,false,false,true,7,false
0.1,Sample,40,7,50.,2,false,true,20,false,false,true,1,false,false,true,6,false
0.1,Sample,40,7,50.,3,false,true,16,false,false,true,1,false,false,true,4,false
0.1,Sample,70,7,50.,1,false,true,32,false,false,true,16,false,false,true,14,false
0.1,Sample,70,7,50.,2,false,true,36,false,false,true,3,false,false,true,18,false
0.1,Sample,70,7,50.,3,false,true,19,false,false,true,1,false,false,true,2,false
0.1,Sample,100,7,50.,1,false,true,33,false,false,true,1,false,false,true,11,false
0.1,Sample,100,7,50.,2,false,true,36,false,false,true,11,false,false,true,3,false
0.1,Sample,100,7,50.,3,false,true,39,false,false,true,17,false,false,true,4,false
0.1,Sample,130,7,50.,1,false,true,31,false,false,true,4,false,false,true,10,false
0.1,Sample,130,7,50.,2,false,true,46,false,false,true,17,false,false,true,17,false
0.1,Sample,130,7,50.,3,false,true,35,false,false,true,18,false,false,true,7,false
0.2,Sample,10,3,50.,1,false,true,4,false,true,false,3,true,false,true,2,false
0.2,Sample,10,3,50.,2,false,true,4,false,false,true,4,false,false,true,1,false
0.2,Sample,10,3,50.,3,false,true,4,false,false,true,1,false,false,true,2,false
0.2,Sample,40,3,50.,1,false,true,6,false,false,true,3,false,false,true,1,false
0.2,Sample,40,3,50.,2,false,true,3,false,false,true,1,false,false,true,1,false
0.2,Sample,40,3,50.,3,false,true,6,false,false,true,1,false,false,true,2,false
0.2,Sample,70,3,50.,1,false,true,6,false,false,true,3,false,false,true,2,false
0.2,Sample,70,3,50.,2,false,true,5,false,false,true,1,false,false,true,3,false
0.2,Sample,70,3,50.,3,false,true,6,false,false,true,1,false,false,true,2,false
0.2,Sample,100,3,50.,1,false,true,5,false,false,true,1,false,false,true,1,false
0.2,Sample,100,3,50.,2,false,true,4,false,false,true,5,false,false,true,1,false
0.2,Sample,100,3,50.,3,false,true,5,false,false,true,1,false,false,true,2,false
0.2,Sample,130,3,50.,1,false,true,6,false,false,true,2,false,false,true,2,false
0.2,Sample,130,3,50.,2,false,false,6,false,false,true,1,false,false,true,2,false
0.2,Sample,130,3,50.,3,false,true,6,false,false,true,1,false,false,true,1,false
0.2,Sample,10,5,50.,1,false,true,4,false,false,true,3,false,false,true,1,false
0.2,Sample,10,5,50.,2,false,true,5,false,true,false,4,true,false,true,1,false
0.2,Sample,10,5,50.,3,false,true,8,false,false,true,2,false,false,true,2,false
0.2,Sample,40,5,50.,1,false,true,12,false,false,true,1,false,false,true,5,false
0.2,Sample,40,5,50.,2,false,true,12,false,false,true,12,false,false,true,6,false
0.2,Sample,40,5,50.,3,false,true,10,false,false,true,1,false,false,true,3,false
0.2,Sample,70,5,50.,1,false,true,15,false,false,true,1,false,false,true,2,false
0.2,Sample,70,5,50.,2,false,true,11,false,false,true,3,false,false,true,2,false
0.2,Sample,70,5,50.,3,false,true,15,false,false,true,1,false,false,true,3,false
0.2,Sample,100,5,50.,1,false,true,18,false,false,true,1,false,false,true,6,false
0.2,Sample,100,5,50.,2,false,true,26,false,false,true,15,false,false,true,11,false
0.2,Sample,100,5,50.,3,false,true,22,false,false,true,7,false,false,true,3,false
0.2,Sample,130,5,50.,1,false,true,13,false,false,true,1,false,false,true,2,false
0.2,Sample,130,5,50.,2,false,true,21,false,false,true,28,false,false,true,3,false
0.2,Sample,130,5,50.,3,false,true,20,false,false,true,1,false,false,true,3,false
0.2,Sample,10,7,50.,1,false,true,5,false,false,true,4,false,false,true,2,false
0.2,Sample,10,7,50.,2,false,true,10,false,false,true,4,false,false,false,8,false
0.2,Sample,10,7,50.,3,false,true,8,true,false,true,1,false,false,true,4,false
0.2,Sample,40,7,50.,1,false,true,28,false,false,true,1,false,false,true,19,false
0.2,Sample,40,7,50.,2,false,true,13,false,false,true,2,false,false,true,3,false
0.2,Sample,40,7,50.,3,false,true,22,false,false,true,1,false,false,true,4,false
0.2,Sample,70,7,50.,1,false,true,28,false,false,true,1,false,false,true,7,false
0.2,Sample,70,7,50.,2,false,true,24,false,false,true,1,false,false,true,8,false
0.2,Sample,70,7,50.,3,false,true,25,false,false,true,1,false,false,true,6,false
0.2,Sample,100,7,50.,1,false,true,49,false,false,true,6,false,false,true,9,false
0.2,Sample,100,7,50.,2,false,true,33,false,false,true,19,false,false,true,7,false
0.2,Sample,100,7,50.,3,false,true,35,false,false,true,22,false,false,true,13,false
0.2,Sample,130,7,50.,1,false,true,40,false,false,true,1,false,false,true,8,false
0.2,Sample,130,7,50.,2,false,true,31,false,false,true,5,false,false,true,4,false
0.2,Sample,130,7,50.,3,false,true,52,false,false,true,1,false,false,true,24,false
0.3,Sample,10,3,50.,1,false,true,5,false,false,true,4,false,false,true,2,false
0.3,Sample,10,3,50.,2,false,true,4,false,false,true,3,false,false,true,1,false
0.3,Sample,10,3,50.,3,false,true,3,false,false,true,1,false,false,true,1,false
0.3,Sample,40,3,50.,1,false,true,5,false,false,true,1,false,false,true,1,false
0.3,Sample,40,3,50.,2,false,true,5,false,false,true,2,false,false,true,1,false
0.3,Sample,40,3,50.,3,false,true,5,false,false,true,1,false,false,true,1,false
0.3,Sample,70,3,50.,1,false,true,5,false,false,true,4,false,false,true,1,false
0.3,Sample,70,3,50.,2,false,true,6,false,false,true,1,false,false,true,2,false
0.3,Sample,70,3,50.,3,false,true,6,false,false,true,1,false,false,true,5,false
0.3,Sample,100,3,50.,1,false,true,6,false,false,true,3,false,false,true,2,false
0.3,Sample,100,3,50.,2,false,true,5,false,false,true,1,false,false,true,2,false
0.3,Sample,100,3,50.,3,false,true,4,false,false,true,2,false,false,true,1,false
0.3,Sample,130,3,50.,1,false,true,5,false,false,true,3,false,false,true,1,false
0.3,Sample,130,3,50.,2,false,true,6,false,false,true,6,false,false,true,1,false
0.3,Sample,130,3,50.,3,false,true,5,false,false,true,1,false,false,true,1,false
0.3,Sample,10,5,50.,1,false,true,6,false,false,true,2,false,false,true,3,false
0.3,Sample,10,5,50.,2,false,true,5,false,false,true,4,false,false,true,3,false
0.3,Sample,10,5,50.,3,false,true,8,false,false,true,2,false,false,true,4,false
0.3,Sample,40,5,50.,1,false,true,15,false,false,true,10,false,false,true,10,false
0.3,Sample,40,5,50.,2,false,true,17,false,false,true,7,false,false,true,5,false
0.3,Sample,40,5,50.,3,false,true,13,false,false,true,16,false,false,false,9,false
