bias,cand_sampler,n_voters,n_candidates,time_steps,trial,cyclic_start,condorcet_start,unique_start,intransative_start,cyclic_end,condorcet_end,unique_end,intransative_end,cyclic_true,condorcet_true,unique_true,intransative_true
0.1,Random,10,3,50.,1,false,true,6,false,false,true,1,false,false,true,3,false
0.1,Random,10,3,50.,2,false,false,4,false,false,true,2,false,false,false,5,false
0.1,Random,10,3,50.,3,false,false,5,true,false,true,1,false,false,true,6,false
0.1,Random,40,3,50.,1,false,true,6,false,false,true,1,false,false,true,5,false
0.1,Random,40,3,50.,2,false,true,6,false,false,true,1,false,false,true,5,false
0.1,Random,40,3,50.,3,false,true,6,false,false,true,1,false,false,true,6,false
0.1,Random,70,3,50.,1,false,true,6,false,false,true,1,false,false,true,6,false
0.1,Random,70,3,50.,2,false,true,6,false,false,true,4,false,false,true,6,false
0.1,Random,70,3,50.,3,false,true,5,false,false,true,2,false,false,true,6,false
0.1,Random,100,3,50.,1,false,true,6,false,false,true,1,false,false,true,6,false
0.1,Random,100,3,50.,2,false,true,5,false,false,true,2,false,false,true,5,false
0.1,Random,100,3,50.,3,false,true,6,false,false,true,3,false,false,true,6,false
0.1,Random,130,3,50.,1,false,true,6,false,false,true,2,false,false,true,6,false
0.1,Random,130,3,50.,2,false,true,6,false,false,true,3,false,false,true,6,false
0.1,Random,130,3,50.,3,false,true,6,false,false,true,1,false,false,true,6,false
0.1,Random,10,5,50.,1,false,true,10,false,false,true,5,false,false,true,10,false
0.1,Random,10,5,50.,2,false,false,9,false,false,true,4,false,false,true,10,false
0.1,Random,10,5,50.,3,false,false,9,false,false,true,1,false,false,true,9,true
0.1,Random,40,5,50.,1,false,true,22,false,false,true,1,false,false,true,21,false
0.1,Random,40,5,50.,2,false,true,21,false,false,true,1,false,false,true,31,false
0.1,Random,40,5,50.,3,false,true,31,false,false,true,10,false,false,false,33,false
0.1,Random,70,5,50.,1,false,true,41,false,false,true,1,false,false,true,39,false
0.1,Random,70,5,50.,2,false,true,47,false,false,true,1,false,true,true,48,true
0.1,Random,70,5,50.,3,false,true,36,false,false,true,9,false,false,true,31,false
0.1,Random,100,5,50.,1,false,true,40,false,false,true,4,false,true,true,38,true
0.1,Random,100,5,50.,2,false,true,45,false,false,true,1,false,false,true,45,false
0.1,Random,100,5,50.,3,false,true,60,false,false,true,1,false,false,true,60,false
