bias,cand_sampler,n_voters,n_candidates,time_steps,trial,cyclic_start,condorcet_start,unique_start,intransative_start,cyclic_end,condorcet_end,unique_end,intransative_end,cyclic_true,condorcet_true,unique_true,intransative_true
0.1,Random,51,5,1.,1,false,true,37,false,false,true,39,false,false,true,41,false
0.1,Random,51,5,1.,2,false,true,37,false,false,true,28,false,true,true,37,true
0.1,Random,51,5,1.,3,false,true,37,false,false,true,30,false,false,true,34,false
0.1,Random,81,5,1.,1,false,true,42,false,false,true,16,false,false,true,43,false
0.1,Random,81,5,1.,2,false,true,57,false,false,true,39,false,false,true,52,false
0.1,Random,81,5,1.,3,false,true,52,false,false,true,55,false,false,true,49,false
0.1,Random,111,5,1.,1,false,true,56,false,false,true,31,false,false,true,58,false
0.1,Random,111,5,1.,2,false,true,56,false,false,true,46,false,false,true,56,false
0.1,Random,111,5,1.,3,false,true,57,false,false,true,43,false,false,true,58,false
0.1,Random,51,7,1.,1,false,true,51,false,true,true,51,true,false,true,51,false
0.1,Random,51,7,1.,2,false,true,51,false,true,false,51,true,false,true,48,false
0.1,Random,51,7,1.,3,false,true,50,false,false,true,46,false,true,true,49,true
0.1,Random,81,7,1.,1,false,true,77,false,false,true,74,false,false,true,80,false
0.1,Random,81,7,1.,2,false,true,79,false,false,true,80,false,false,true,77,false
0.1,Random,81,7,1.,3,true,false,80,true,false,true,80,false,true,true,81,true
0.1,Random,111,7,1.,1,false,true,109,false,false,true,68,false,true,true,111,true
0.1,Random,111,7,1.,2,false,true,109,false,false,true,106,false,false,true,111,false
0.1,Random,111,7,1.,3,false,true,107,false,false,true,108,false,false,true,109,false
0.1,Random,51,9,1.,1,true,true,51,true,false,true,51,false,true,false,51,true
0.1,Random,51,9,1.,2,true,true,51,true,false,true,51,false,true,true,51,true
0.1,Random,51,9,1.,3,true,true,51,true,false,true,51,false,false,true,51,false
0.1,Random,81,9,1.,1,true,true,81,true,false,true,80,false,false,true,81,false
0.1,Random,81,9,1.,2,true,true,81,true,true,true,81,true,true,true,81,true
0.1,Random,81,9,1.,3,true,true,81,true,false,true,81,false,false,true,81,false
0.1,Random,111,9,1.,1,false,true,111,false,true,false,110,true,false,true,111,false
0.1,Random,111,9,1.,2,true,true,111,true,false,true,111,false,true,true,111,true
0.1,Random,111,9,1.,3,true,true,111,true,false,true,111,false,false,true,111,false
0.2,Random,51,5,1.,1,false,true,37,false,true,true,35,true,false,true,34,false
0.2,Random,51,5,1.,2,false,true,40,false,false,true,36,false,false,true,39,false
0.2,Random,51,5,1.,3,false,true,36,false,false,true,19,false,false,true,38,false
0.2,Random,81,5,1.,1,false,true,50,false,false,true,17,false,false,true,53,false
0.2,Random,81,5,1.,2,false,true,58,false,false,true,61,false,false,true,56,false
0.2,Random,81,5,1.,3,false,true,51,false,true,true,54,true,false,true,49,false
0.2,Random,111,5,1.,1,false,true,64,false,true,false,60,true,false,true,63,false
0.2,Random,111,5,1.,2,false,true,64,false,true,false,69,true,false,true,58,false
0.2,Random,111,5,1.,3,false,true,60,false,false,true,66,false,false,true,55,false
0.2,Random,51,7,1.,1,false,true,49,false,false,true,49,false,false,true,51,false
0.2,Random,51,7,1.,2,true,true,51,true,false,true,42,false,false,true,51,false
0.2,Random,51,7,1.,3,true,true,51,true,false,true,51,false,true,true,51,true
0.2,Random,81,7,1.,1,false,true,78,false,false,true,78,false,false,true,79,false
0.2,Random,81,7,1.,2,false,true,79,false,false,true,76,false,true,true,79,true
0.2,Random,81,7,1.,3,true,true,80,true,false,true,61,false,false,true,80,false
0.2,Random,111,7,1.,1,true,true,107,true,false,true,106,false,false,true,107,false
0.2,Random,111,7,1.,2,false,true,107,false,true,true,110,true,false,true,103,false
0.2,Random,111,7,1.,3,false,true,104,false,false,true,89,false,false,true,106,false
0.2,Random,51,9,1.,1,true,true,51,true,true,true,51,true,false,true,51,false
0.2,Random,51,9,1.,2,false,true,51,false,false,true,51,false,true,true,51,true
0.2,Random,51,9,1.,3,false,true,51,false,true,true,51,true,false,true,51,false
