bias,cand_sampler,n_voters,n_candidates,time_steps,trial,cyclic_start,condorcet_start,unique_start,intransative_start,cyclic_end,condorcet_end,unique_end,intransative_end,cyclic_true,condorcet_true,unique_true,intransative_true
0.1,Random,9,5,1.,1,false,true,9,false,false,true,9,false,false,true,9,false
0.1,Random,9,5,1.,2,false,true,9,false,false,true,9,false,false,true,9,false
0.1,Random,9,5,1.,3,true,true,9,true,false,true,9,false,true,false,9,true
0.1,Random,11,5,1.,1,false,true,11,false,true,true,11,true,false,true,11,false
0.1,Random,11,5,1.,2,true,true,9,true,true,true,9,true,true,true,10,true
0.1,Random,11,5,1.,3,false,true,9,false,false,true,11,false,false,true,10,false
0.1,Random,13,5,1.,1,false,true,11,false,false,true,12,false,false,true,9,false
0.1,Random,13,5,1.,2,false,true,12,false,false,true,10,false,false,true,11,false
0.1,Random,13,5,1.,3,false,true,13,false,false,true,11,false,false,true,12,false
0.1,Random,15,5,1.,1,false,true,15,false,false,true,15,false,false,true,13,false
0.1,Random,15,5,1.,2,false,true,14,false,false,true,14,false,false,true,13,false
0.1,Random,15,5,1.,3,true,false,14,true,false,true,13,false,false,true,14,false
0.1,Random,9,7,1.,1,false,true,9,false,true,false,9,true,false,true,9,false
0.1,Random,9,7,1.,2,false,true,9,false,true,true,9,true,false,true,9,false
0.1,Random,9,7,1.,3,true,true,9,true,true,false,9,true,true,true,9,true
0.1,Random,11,7,1.,1,true,false,11,true,false,true,11,false,false,true,11,false
0.1,Random,11,7,1.,2,true,true,11,true,true,true,11,true,false,true,11,false
0.1,Random,11,7,1.,3,false,true,11,false,false,true,11,false,false,true,11,false
0.1,Random,13,7,1.,1,true,true,13,true,false,true,13,false,false,true,13,false
0.1,Random,13,7,1.,2,false,true,13,false,false,true,12,false,false,true,13,false
0.1,Random,13,7,1.,3,true,true,13,true,true,false,13,true,false,true,13,false
0.1,Random,15,7,1.,1,false,true,15,false,true,true,15,true,true,true,15,true
0.1,Random,15,7,1.,2,true,true,15,true,false,true,15,false,false,true,15,false
0.1,Random,15,7,1.,3,false,true,15,false,false,true,15,false,false,true,15,false
0.1,Random,9,9,1.,1,true,true,9,true,true,false,9,true,true,true,9,true
0.1,Random,9,9,1.,2,true,true,9,true,false,true,9,false,true,true,9,true
0.1,Random,9,9,1.,3,false,true,9,false,false,true,9,false,true,true,9,true
0.1,Random,11,9,1.,1,true,true,11,true,true,false,11,true,true,true,11,true
0.1,Random,11,9,1.,2,false,true,11,false,true,false,11,true,true,true,11,true
0.1,Random,11,9,1.,3,true,true,11,true,true,false,11,true,true,true,11,true
0.1,Random,13,9,1.,1,false,true,13,false,true,true,13,true,false,true,13,false
0.1,Random,13,9,1.,2,false,true,13,false,true,true,13,true,false,true,13,false
0.1,Random,13,9,1.,3,true,true,13,true,true,false,13,true,true,true,13,true
