bias,cand_sampler,n_voters,n_candidates,time_steps,trial,cyclic_start,condorcet_start,unique_start,intransative_start,cyclic_end,condorcet_end,unique_end,intransative_end,cyclic_true,condorcet_true,unique_true,intransative_true
0.1,Random,9,5,1.,1,false,true,7,false,false,true,9,false,false,true,8,false
0.1,Random,9,5,1.,2,false,true,9,false,false,true,9,false,false,true,8,false
0.1,Random,9,5,1.,3,false,true,9,false,false,true,8,false,true,false,8,true
0.1,Random,9,5,1.,4,false,true,8,false,true,true,8,true,false,true,8,false
0.1,Random,9,5,1.,5,false,true,9,false,false,true,9,false,false,true,9,false
0.1,Random,9,5,1.,6,false,true,8,false,false,true,7,false,true,true,8,true
0.1,Random,9,5,1.,7,false,true,7,false,false,true,9,false,true,true,8,true
0.1,Random,9,5,1.,8,false,true,8,false,false,true,9,false,false,true,8,false
0.1,Random,9,5,1.,9,false,true,7,false,false,true,8,false,false,true,8,false
0.1,Random,9,5,1.,10,false,true,9,false,false,true,8,false,false,true,9,false
0.1,Random,9,5,1.,11,false,true,9,false,false,true,9,false,false,true,9,false
0.1,Random,9,5,1.,12,false,true,8,false,true,false,9,true,false,true,7,false
0.1,Random,9,5,1.,13,false,true,9,false,false,true,9,false,false,true,9,false
0.1,Random,9,5,1.,14,true,false,8,true,false,true,9,false,false,true,8,false
0.1,Random,9,5,1.,15,true,true,9,true,true,false,9,true,false,true,9,false
0.1,Random,9,5,1.,16,false,true,9,false,false,true,8,false,false,true,8,false
0.1,Random,9,5,1.,17,true,false,9,true,false,true,9,false,false,true,8,false
0.1,Random,9,5,1.,18,true,true,9,true,false,true,9,false,false,true,8,false
0.1,Random,9,5,1.,19,false,true,9,false,false,true,9,false,false,true,9,false
0.1,Random,9,5,1.,20,false,true,8,false,false,true,9,false,false,true,8,false
0.1,Random,9,5,1.,21,true,true,9,true,true,false,9,true,false,true,9,false
0.1,Random,9,5,1.,22,false,true,8,false,true,false,9,true,false,true,9,false
0.1,Random,9,5,1.,23,false,true,7,false,false,true,9,false,false,true,8,false
0.1,Random,9,5,1.,24,false,true,9,false,false,true,9,false,false,true,9,false
0.1,Random,9,5,1.,25,false,true,9,false,false,true,9,false,true,true,9,true
0.1,Random,9,5,1.,26,false,true,8,false,false,true,7,false,false,true,9,false
0.1,Random,9,5,1.,27,true,false,9,true,false,true,9,false,true,true,9,true
0.1,Random,9,5,1.,28,false,true,9,false,false,true,9,false,false,true,9,false
0.1,Random,9,5,1.,29,true,true,8,true,false,true,9,false,false,true,6,false
0.1,Random,9,5,1.,30,true,true,7,true,true,false,9,true,true,false,8,true
0.1,Random,11,5,1.,1,false,true,11,false,false,true,10,false,false,true,10,false
0.1,Random,11,5,1.,2,false,true,10,false,false,true,11,false,false,true,11,false
0.1,Random,11,5,1.,3,false,true,11,false,false,true,11,false,false,true,10,false
0.1,Random,11,5,1.,4,false,true,11,false,true,false,11,true,false,true,11,false
0.1,Random,11,5,1.,5,false,true,11,false,true,true,11,true,false,true,10,false
0.1,Random,11,5,1.,6,false,true,11,false,false,true,9,false,false,true,9,false
0.1,Random,11,5,1.,7,false,true,7,false,false,true,11,false,false,true,9,false
0.1,Random,11,5,1.,8,false,true,10,false,false,true,10,false,true,false,11,true
0.1,Random,11,5,1.,9,false,true,9,false,true,true,11,true,false,true,9,false
0.1,Random,11,5,1.,10,false,true,11,false,false,true,11,false,false,true,11,false
0.1,Random,11,5,1.,11,false,true,10,false,false,true,9,false,false,true,9,false
0.1,Random,11,5,1.,12,false,true,10,false,false,true,10,false,false,true,9,false
0.1,Random,11,5,1.,13,false,true,11,false,false,true,11,false,false,true,10,false
0.1,Random,11,5,1.,14,false,true,10,false,true,false,10,true,true,false,11,true
0.1,Random,11,5,1.,15,false,true,10,false,false,true,11,false,false,true,9,false
0.1,Random,11,5,1.,16,false,true,10,false,false,true,11,false,false,true,11,false
0.1,Random,11,5,1.,17,true,true,11,true,true,false,10,true,false,true,11,false
0.1,Random,11,5,1.,18,false,true,10,false,false,true,9,false,false,true,10,false
0.1,Random,11,5,1.,19,false,true,9,false,false,true,8,false,true,true,9,true
0.1,Random,11,5,1.,20,false,true,8,false,false,true,10,false,false,true,10,false
0.1,Random,11,5,1.,21,true,true,11,true,true,false,10,true,false,true,9,false
0.1,Random,11,5,1.,22,false,true,9,false,false,true,10,false,false,true,10,false
0.1,Random,11,5,1.,23,false,true,10,false,false,true,11,false,true,false,10,true
0.1,Random,11,5,1.,24,false,true,9,false,false,true,11,false,false,true,9,false
0.1,Random,11,5,1.,25,false,true,11,false,false,true,10,false,false,true,10,false
0.1,Random,11,5,1.,26,false,true,11,false,false,true,10,false,false,true,10,false
0.1,Random,11,5,1.,27,true,false,11,true,true,true,9,true,false,true,11,false
0.1,Random,11,5,1.,28,false,true,8,false,false,true,11,false,false,true,10,false
0.1,Random,11,5,1.,29,false,true,11,false,false,true,10,false,false,true,9,false
0.1,Random,11,5,1.,30,false,true,10,false,false,true,9,false,false,true,10,false
0.1,Random,13,5,1.,1,true,true,12,true,false,true,12,false,true,true,13,true
0.1,Random,13,5,1.,2,false,true,12,false,false,true,13,false,false,true,12,false
0.1,Random,13,5,1.,3,false,true,12,false,false,true,12,false,true,false,9,true
0.1,Random,13,5,1.,4,true,false,13,true,false,true,12,false,false,true,13,false
0.1,Random,13,5,1.,5,false,true,9,false,false,true,11,false,false,true,8,false
0.1,Random,13,5,1.,6,false,true,13,false,false,true,12,false,false,true,8,false
0.1,Random,13,5,1.,7,false,true,12,false,false,true,11,false,false,true,11,false
