bias,cand_sampler,n_voters,n_candidates,time_steps,trial,cyclic_start,condorcet_start,unique_start,intransative_start,cyclic_end,condorcet_end,unique_end,intransative_end,cyclic_true,condorcet_true,unique_true,intransative_true
0.1,Sample,10,3,100.,1,false,true,3,false,false,true,1,false,false,true,1,false
0.1,Sample,10,3,100.,2,false,true,5,false,false,true,1,false,false,true,3,false
0.1,Sample,10,3,100.,3,false,true,4,false,false,true,2,false,false,true,2,false
0.1,Sample,40,3,100.,1,false,true,4,false,false,true,1,false,false,true,4,false
0.1,Sample,40,3,100.,2,false,true,6,false,false,true,1,false,false,true,3,false
0.1,Sample,40,3,100.,3,false,true,4,false,false,true,1,false,false,true,1,false
0.1,Sample,70,3,100.,1,false,true,5,false,false,true,1,false,false,true,2,false
0.1,Sample,70,3,100.,2,false,true,6,false,false,true,4,false,false,true,5,false
0.1,Sample,70,3,100.,3,false,true,5,false,false,true,2,false,false,true,1,false
0.1,Sample,100,3,100.,1,false,true,6,false,false,true,2,false,false,true,2,false
0.1,Sample,100,3,100.,2,false,true,4,false,false,true,1,false,false,true,2,false
0.1,Sample,100,3,100.,3,false,true,6,false,false,true,2,false,false,true,4,false
0.2,Sample,10,3,100.,1,false,true,2,false,false,true,2,false,false,true,1,false
0.2,Sample,10,3,100.,2,false,true,4,false,false,true,2,false,false,true,1,false
0.2,Sample,10,3,100.,3,false,true,3,false,false,true,1,false,false,true,1,false
0.2,Sample,40,3,100.,1,false,true,5,false,false,true,2,false,false,true,1,false
0.2,Sample,40,3,100.,2,false,true,4,false,false,true,4,false,false,true,2,false
0.2,Sample,40,3,100.,3,false,true,5,false,false,true,1,false,false,true,3,false
0.2,Sample,70,3,100.,1,false,true,4,false,false,true,1,false,false,true,1,false
0.2,Sample,70,3,100.,2,false,true,5,false,false,true,3,false,false,true,3,false
0.2,Sample,70,3,100.,3,false,true,6,false,false,true,2,false,false,true,2,false
0.2,Sample,100,3,100.,1,false,true,5,false,false,true,2,false,false,true,2,false
0.2,Sample,100,3,100.,2,false,true,5,false,false,true,1,false,false,true,3,false
0.2,Sample,100,3,100.,3,false,true,6,false,false,true,2,false,false,true,1,false
0.3,Sample,10,3,100.,1,false,false,4,false,false,true,2,false,false,true,3,false
0.3,Sample,10,3,100.,2,false,true,4,false,false,true,4,false,false,true,1,false
0.3,Sample,10,3,100.,3,false,true,4,false,false,true,1,false,false,true,3,false
0.3,Sample,40,3,100.,1,false,true,6,false,false,true,5,false,false,true,1,false
0.3,Sample,40,3,100.,2,false,true,5,false,false,true,1,false,false,true,3,false
0.3,Sample,40,3,100.,3,false,true,4,false,false,true,1,false,false,true,1,false
0.3,Sample,70,3,100.,1,false,true,6,false,false,true,1,false,false,true,1,false
0.3,Sample,70,3,100.,2,false,true,6,false,false,true,1,false,false,true,1,false
0.3,Sample,70,3,100.,3,false,true,6,false,false,true,1,false,false,true,1,false
0.3,Sample,100,3,100.,1,false,true,6,false,false,true,3,false,false,true,2,false
0.3,Sample,100,3,100.,2,false,true,5,false,false,true,1,false,false,true,2,false
0.3,Sample,100,3,100.,3,false,true,6,false,false,true,1,false,false,true,1,false
0.4,Sample,10,3,100.,1,false,true,5,false,false,true,4,false,false,false,3,false
0.4,Sample,10,3,100.,2,false,true,3,false,false,true,1,false,false,true,2,false
0.4,Sample,10,3,100.,3,false,true,3,false,false,true,1,false,false,true,1,false
0.4,Sample,40,3,100.,1,false,true,6,false,false,true,1,false,false,false,2,false
0.4,Sample,40,3,100.,2,false,true,3,false,false,true,3,false,false,true,2,false
0.4,Sample,40,3,100.,3,false,true,4,false,false,true,1,false,false,true,2,false
0.4,Sample,70,3,100.,1,false,true,6,false,false,true,1,false,false,true,1,false
0.4,Sample,70,3,100.,2,false,true,5,false,false,true,1,false,false,true,2,false
0.4,Sample,70,3,100.,3,false,true,4,false,false,true,1,false,false,true,2,false
0.4,Sample,100,3,100.,1,false,true,6,false,false,true,3,false,false,true,2,false
0.4,Sample,100,3,100.,2,false,true,6,false,false,true,4,false,false,true,2,false
0.4,Sample,100,3,100.,3,false,true,6,false,false,true,4,false,false,true,2,false
0.5,Sample,10,3,100.,1,false,false,3,false,false,true,3,false,false,true,2,false
0.5,Sample,10,3,100.,2,false,true,4,false,false,true,3,false,false,true,2,false
0.5,Sample,10,3,100.,3,false,true,3,false,false,true,2,false,false,true,2,false
0.5,Sample,40,3,100.,1,false,true,5,false,false,true,3,false,false,true,3,false
0.5,Sample,40,3,100.,2,false,true,5,false,false,true,4,false,false,true,2,false
0.5,Sample,40,3,100.,3,false,true,3,false,false,true,1,false,false,true,1,false
0.5,Sample,70,3,100.,1,false,true,6,false,false,true,1,false,false,true,1,false
0.5,Sample,70,3,100.,2,false,true,4,false,false,true,1,false,false,true,1,false
0.5,Sample,70,3,100.,3,false,true,5,false,false,true,1,false,false,true,1,false
0.5,Sample,100,3,100.,1,false,true,6,false,false,true,1,false,false,true,6,false
0.5,Sample,100,3,100.,2,false,true,6,false,false,true,4,false,false,true,2,false
0.5,Sample,100,3,100.,3,false,true,5,false,false,true,2,false,false,true,1,false
0.6,Sample,10,3,100.,1,false,true,4,false,true,false,4,true,false,true,2,false
0.6,Sample,10,3,100.,2,false,true,5,false,true,false,4,true,false,true,3,false
0.6,Sample,10,3,100.,3,false,true,4,false,false,true,1,false,false,true,1,false
0.6,Sample,40,3,100.,1,false,true,5,false,false,true,3,false,false,true,1,false
0.6,Sample,40,3,100.,2,false,true,4,false,false,true,1,false,false,true,2,false
0.6,Sample,40,3,100.,3,false,true,4,false,false,true,1,false,false,true,1,false
0.6,Sample,70,3,100.,1,false,true,6,false,false,true,1,false,false,true,6,false
0.6,Sample,70,3,100.,2,false,true,6,false,false,true,3,false,false,true,2,false
0.6,Sample,70,3,100.,3,false,true,6,false,false,true,2,false,false,true,2,false
0.6,Sample,100,3,100.,1,false,true,6,false,false,true,2,false,false,true,2,false
0.6,Sample,100,3,100.,2,false,true,6,false,false,true,5,false,false,true,2,false
0.6,Sample,100,3,100.,3,false,true,5,false,false,true,1,false,false,true,2,false
0.7,Sample,10,3,100.,1,false,true,3,false,false,true,3,false,false,true,2,false
0.7,Sample,10,3,100.,2,false,true,3,false,false,true,1,false,false,true,1,false
0.7,Sample,10,3,100.,3,false,true,2,false,false,true,1,false,false,true,1,false
0.7,Sample,40,3,100.,1,false,true,4,false,false,true,1,false,false,true,2,false
0.7,Sample,40,3,100.,2,false,true,5,false,false,true,4,false,false,true,2,false
0.7,Sample,40,3,100.,3,false,true,4,false,false,true,1,false,false,true,2,false
0.7,Sample,70,3,100.,1,false,true,6,false,false,true,1,false,false,true,6,false
0.7,Sample,70,3,100.,2,false,true,6,false,false,true,4,false,false,true,2,false
0.7,Sample,70,3,100.,3,false,true,4,false,false,true,1,false,false,true,2,false
0.7,Sample,100,3,100.,1,false,true,6,false,false,true,3,false,false,true,2,false
0.7,Sample,100,3,100.,2,false,true,6,false,false,true,1,false,false,true,2,false
0.7,Sample,100,3,100.,3,false,true,4,false,false,true,1,false,false,true,1,false
0.8,Sample,10,3,100.,1,false,true,2,false,false,true,2,false,false,true,1,false
0.8,Sample,10,3,100.,2,false,true,3,false,false,true,2,false,false,true,1,false
0.8,Sample,10,3,100.,3,false,false,4,false,false,true,2,false,false,true,2,false
0.8,Sample,40,3,100.,1,false,true,3,false,false,true,4,false,false,true,1,false
0.8,Sample,40,3,100.,2,false,true,5,false,false,true,3,false,false,true,1,false
0.8,Sample,40,3,100.,3,false,true,4,false,false,true,2,false,false,true,2,false
0.8,Sample,70,3,100.,1,false,true,5,false,false,true,1,false,false,true,1,false
0.8,Sample,70,3,100.,2,false,true,5,false,false,true,3,false,false,true,1,false
0.8,Sample,70,3,100.,3,false,true,5,false,false,true,3,false,false,true,1,false
0.8,Sample,100,3,100.,1,false,true,5,false,false,true,3,false,false,true,2,false
0.8,Sample,100,3,100.,2,false,true,4,false,false,true,3,false,false,true,1,false
0.8,Sample,100,3,100.,3,false,true,5,false,false,true,2,false,false,true,1,false
0.9,Sample,10,3,100.,1,false,true,3,false,false,true,4,false,false,true,2,false
0.9,Sample,10,3,100.,2,false,true,3,false,false,true,2,false,false,true,2,false
0.9,Sample,10,3,100.,3,false,true,3,false,false,true,2,false,false,true,1,false
0.9,Sample,40,3,100.,1,false,true,3,false,false,true,1,false,false,true,1,false
0.9,Sample,40,3,100.,2,false,true,5,false,false,true,5,false,false,true,1,false
0.9,Sample,40,3,100.,3,false,true,5,false,false,true,2,false,false,true,1,false
0.9,Sample,70,3,100.,1,false,true,6,false,false,true,1,false,false,true,1,false
0.9,Sample,70,3,100.,2,false,true,6,false,false,true,2,false,false,true,2,false
0.9,Sample,70,3,100.,3,false,true,6,false,false,true,3,false,false,true,3,false
0.9,Sample,100,3,100.,1,false,true,4,false,false,true,1,false,false,true,1,false
0.9,Sample,100,3,100.,2,false,true,5,false,false,true,1,false,false,true,1,false
0.9,Sample,100,3,100.,3,false,true,6,false,false,true,1,false,false,true,1,false
1.,Sample,10,3,100.,1,false,true,3,false,false,true,3,false,false,true,1,false
1.,Sample,10,3,100.,2,false,true,4,false,false,true,1,false,false,true,1,false
1.,Sample,10,3,100.,3,false,true,3,false,false,true,1,false,false,true,2,false
1.,Sample,40,3,100.,1,false,true,5,false,false,true,1,false,false,true,2,false
1.,Sample,40,3,100.,2,false,true,5,false,false,true,3,false,false,true,1,false
1.,Sample,40,3,100.,3,false,true,5,false,false,true,1,false,false,true,2,false
1.,Sample,70,3,100.,1,false,true,5,false,false,true,1,false,false,true,1,false
1.,Sample,70,3,100.,2,false,true,4,false,false,true,3,false,false,true,1,false
1.,Sample,70,3,100.,3,false,true,6,false,false,true,4,false,false,true,2,false
1.,Sample,100,3,100.,1,false,true,5,false,false,true,3,false,false,true,2,false
1.,Sample,100,3,100.,2,false,true,6,false,false,true,4,false,false,true,5,false
1.,Sample,100,3,100.,3,false,true,4,false,false,true,3,false,false,true,2,false
0.1,Voter,10,3,100.,1,false,true,3,false,false,true,3,false,false,true,1,false
0.1,Voter,10,3,100.,2,false,true,3,false,false,true,2,false,false,false,2,false
0.1,Voter,10,3,100.,3,false,true,3,false,false,true,1,false,false,true,1,false
0.1,Voter,40,3,100.,1,false,true,2,false,false,true,2,false,false,true,2,false
0.1,Voter,40,3,100.,2,false,true,5,false,false,true,1,false,false,true,4,false
0.1,Voter,40,3,100.,3,false,true,5,false,false,true,1,false,false,true,2,false
0.1,Voter,70,3,100.,1,false,true,6,false,false,true,1,false,false,true,2,false
0.1,Voter,70,3,100.,2,false,true,4,false,false,true,1,false,false,true,1,false
0.1,Voter,70,3,100.,3,false,true,3,false,false,true,2,false,false,true,2,false
0.1,Voter,100,3,100.,1,false,true,5,false,false,true,1,false,false,true,2,false
0.1,Voter,100,3,100.,2,false,true,4,false,false,true,3,false,false,true,2,false
0.1,Voter,100,3,100.,3,false,true,5,false,false,true,1,false,false,true,3,false
0.2,Voter,10,3,100.,1,false,true,3,false,false,true,3,false,false,true,1,false
0.2,Voter,10,3,100.,2,false,true,2,false,false,true,1,false,false,true,1,false
0.2,Voter,10,3,100.,3,false,true,3,false,false,true,2,false,false,true,1,false
0.2,Voter,40,3,100.,1,false,true,4,false,false,true,3,false,false,true,2,false
0.2,Voter,40,3,100.,2,false,true,5,false,false,true,4,false,false,true,2,false
0.2,Voter,40,3,100.,3,false,true,4,false,false,true,1,false,false,true,4,false
0.2,Voter,70,3,100.,1,false,true,6,false,false,true,1,false,false,true,3,false
0.2,Voter,70,3,100.,2,false,true,6,false,false,true,1,false,false,true,1,false
0.2,Voter,70,3,100.,3,false,true,5,false,false,true,1,false,false,true,1,false
0.2,Voter,100,3,100.,1,false,true,6,false,false,true,2,false,false,true,5,false
0.2,Voter,100,3,100.,2,false,true,6,false,false,true,2,false,false,true,3,false
0.2,Voter,100,3,100.,3,false,true,5,false,false,true,2,false,false,false,2,false
0.3,Voter,10,3,100.,1,false,true,2,false,false,true,2,false,false,true,2,false
0.3,Voter,10,3,100.,2,false,true,4,false,false,true,4,false,false,true,1,false
0.3,Voter,10,3,100.,3,false,true,3,false,false,true,2,false,false,true,1,false
0.3,Voter,40,3,100.,1,false,true,4,false,false,true,1,false,false,true,1,false
0.3,Voter,40,3,100.,2,false,true,3,false,false,true,2,false,false,true,2,false
0.3,Voter,40,3,100.,3,false,true,4,false,false,true,2,false,false,true,2,false
0.3,Voter,70,3,100.,1,false,true,5,false,false,true,1,false,false,true,2,false
0.3,Voter,70,3,100.,2,false,true,5,false,false,true,1,false,false,true,6,false
0.3,Voter,70,3,100.,3,false,true,4,false,false,true,4,false,false,true,2,false
0.3,Voter,100,3,100.,1,false,true,4,false,false,true,1,false,false,true,2,false
0.3,Voter,100,3,100.,2,false,true,5,false,false,true,1,false,false,true,2,false
0.3,Voter,100,3,100.,3,false,true,4,false,false,true,2,false,false,true,2,false
0.4,Voter,10,3,100.,1,false,true,4,false,false,true,2,false,false,false,2,false
0.4,Voter,10,3,100.,2,false,true,3,false,false,true,3,false,false,false,2,false
0.4,Voter,10,3,100.,3,false,true,3,false,false,true,2,false,false,true,1,false
0.4,Voter,40,3,100.,1,false,true,3,false,false,true,3,false,false,true,2,false
0.4,Voter,40,3,100.,2,false,true,3,false,false,true,2,false,false,true,2,false
0.4,Voter,40,3,100.,3,false,true,4,false,false,true,1,false,false,true,2,false
0.4,Voter,70,3,100.,1,false,true,4,false,false,true,1,false,false,true,2,false
0.4,Voter,70,3,100.,2,false,true,4,false,false,true,1,false,false,true,2,false
0.4,Voter,70,3,100.,3,false,true,6,false,false,true,3,false,false,true,1,false
0.4,Voter,100,3,100.,1,false,true,2,false,false,true,2,false,false,true,2,false
0.4,Voter,100,3,100.,2,false,true,6,false,false,true,2,false,false,true,2,false
0.4,Voter,100,3,100.,3,false,true,4,false,false,true,1,false,false,true,2,false
0.5,Voter,10,3,100.,1,false,true,2,false,false,true,1,false,false,true,1,false
0.5,Voter,10,3,100.,2,false,true,2,false,false,true,2,false,false,true,1,false
0.5,Voter,10,3,100.,3,false,true,2,false,false,true,1,false,false,true,1,false
0.5,Voter,40,3,100.,1,false,true,3,false,false,true,1,false,false,true,1,false
0.5,Voter,40,3,100.,2,false,true,6,false,false,true,5,false,false,true,6,false
0.5,Voter,40,3,100.,3,false,true,5,false,false,true,1,false,false,true,2,false
0.5,Voter,70,3,100.,1,false,true,4,false,false,true,3,false,false,true,2,false
0.5,Voter,70,3,100.,2,false,true,5,false,false,true,1,false,false,true,1,false
0.5,Voter,70,3,100.,3,false,true,5,false,false,true,4,false,false,true,2,false
0.5,Voter,100,3,100.,1,false,true,5,false,false,true,1,false,false,true,5,false
0.5,Voter,100,3,100.,2,false,true,5,false,false,true,1,false,false,true,1,false
0.5,Voter,100,3,100.,3,false,true,4,false,false,true,1,false,false,true,1,false
0.6,Voter,10,3,100.,1,false,true,3,false,false,true,3,false,false,true,2,false
0.6,Voter,10,3,100.,2,false,true,3,false,false,true,2,false,false,true,2,false
0.6,Voter,10,3,100.,3,false,true,2,false,false,true,2,false,false,true,1,false
0.6,Voter,40,3,100.,1,false,true,6,false,false,true,3,false,false,true,3,false
0.6,Voter,40,3,100.,2,false,true,6,false,false,true,3,false,false,true,2,false
0.6,Voter,40,3,100.,3,false,true,3,false,false,true,1,false,false,true,2,false
0.6,Voter,70,3,100.,1,false,true,5,false,false,true,1,false,false,true,2,false
0.6,Voter,70,3,100.,2,false,true,5,false,false,true,2,false,false,true,4,false
0.6,Voter,70,3,100.,3,false,true,5,false,false,true,1,false,false,true,1,false
0.6,Voter,100,3,100.,1,false,true,4,false,false,true,2,false,false,true,2,false
0.6,Voter,100,3,100.,2,false,true,6,false,false,true,1,false,false,true,2,false
0.6,Voter,100,3,100.,3,false,true,4,false,false,true,3,false,false,true,2,false
0.7,Voter,10,3,100.,1,false,true,4,false,false,true,1,false,false,true,1,false
0.7,Voter,10,3,100.,2,false,true,2,false,false,true,2,false,false,true,1,false
0.7,Voter,10,3,100.,3,false,true,6,false,false,true,1,false,false,true,1,false
0.7,Voter,40,3,100.,1,false,true,5,false,false,true,2,false,false,true,1,false
0.7,Voter,40,3,100.,2,false,true,4,false,false,true,1,false,false,true,2,false
0.7,Voter,40,3,100.,3,false,true,2,false,false,true,1,false,false,true,1,false
0.7,Voter,70,3,100.,1,false,true,4,false,false,true,2,false,false,true,2,false
0.7,Voter,70,3,100.,2,false,true,5,false,false,true,1,false,false,true,1,false
0.7,Voter,70,3,100.,3,false,true,6,false,false,true,3,false,false,true,5,false
0.7,Voter,100,3,100.,1,false,true,6,false,false,true,1,false,false,true,3,false
0.7,Voter,100,3,100.,2,false,true,6,false,false,true,5,false,false,true,5,false
0.7,Voter,100,3,100.,3,false,true,5,false,false,true,1,false,false,true,1,false
