bias,cand_sampler,n_voters,n_candidates,time_steps,trial,sparse,grouped,credibility,knowledge,ego,selfknowledge,similarity,meta,substantative,cyclic_start,condorcet_start,unique_start,proximity_to_voter_sp_start,proximity_to_cand_sp_start,cyclic_end,condorcet_end,unique_end,proximity_to_voter_sp_end,proximity_to_cand_sp_end,cyclic_true,condorcet_true,unique_true,proximity_to_voter_sp_true,proximity_to_cand_sp_true
3.,Voter,5,6,0.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,false,true,4,4,4,false,true,5,2,3
3.,Voter,5,6,1.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,false,true,5,3,4,false,true,5,2,3
3.,Voter,5,6,2.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,false,true,5,3,3,false,true,5,2,3
3.,Voter,5,6,3.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,false,true,5,3,3,false,true,5,2,3
3.,Voter,5,6,4.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,true,true,5,3,3,false,true,5,2,3
3.,Voter,5,6,5.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,false,true,5,4,4,false,true,5,2,3
3.,Voter,5,6,6.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,false,true,5,3,4,false,true,5,2,3
3.,Voter,5,6,7.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,false,true,5,2,4,false,true,5,2,3
3.,Voter,5,6,8.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,false,true,5,2,4,false,true,5,2,3
3.,Voter,5,6,9.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,false,true,5,2,4,false,true,5,2,3
3.,Voter,5,6,10.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,true,true,5,2,4,false,true,5,2,3
3.,Voter,5,6,11.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,true,true,5,2,4,false,true,5,2,3
3.,Voter,5,6,12.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,true,true,5,2,4,false,true,5,2,3
3.,Voter,5,6,13.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,true,true,5,2,4,false,true,5,2,3
3.,Voter,5,6,14.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,true,true,5,2,4,false,true,5,2,3
3.,Voter,5,6,15.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,true,true,5,2,4,false,true,5,2,3
3.,Voter,5,6,16.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,true,true,5,2,4,false,true,5,2,3
3.,Voter,5,6,17.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,true,true,5,2,4,false,true,5,2,3
3.,Voter,5,6,18.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,true,true,5,2,4,false,true,5,2,3
3.,Voter,5,6,19.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,true,true,5,2,4,false,true,5,2,3
3.,Voter,5,6,20.,1,false,true,false,false,false,false,true,true,true,false,true,4,4,4,true,true,5,2,4,false,true,5,2,3
3.,Sample,6,3,0.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,false,5,5,2,true,false,3,5,2
3.,Sample,6,3,1.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,false,5,5,2,true,false,3,5,2
3.,Sample,6,3,2.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,4,5,2,true,false,3,5,2
3.,Sample,6,3,3.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,4,5,2,true,false,3,5,2
3.,Sample,6,3,4.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,5.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,6.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,7.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,8.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,9.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,10.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,11.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,12.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,13.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,14.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,15.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,16.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,17.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,18.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,19.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,6,3,20.,1,false,true,false,false,false,false,true,true,true,false,false,5,5,2,false,true,3,6,3,true,false,3,5,2
3.,Sample,8,4,0.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,true,false,6,6,3,false,false,7,5,3
3.,Sample,8,4,1.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,7,5,2,false,false,7,5,3
3.,Sample,8,4,2.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,true,7,6,3,false,false,7,5,3
3.,Sample,8,4,3.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,8,6,3,false,false,7,5,3
3.,Sample,8,4,4.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,7,6,3,false,false,7,5,3
3.,Sample,8,4,5.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,true,6,6,3,false,false,7,5,3
3.,Sample,8,4,6.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,true,6,6,3,false,false,7,5,3
3.,Sample,8,4,7.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,6,6,2,false,false,7,5,3
3.,Sample,8,4,8.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,7,6,2,false,false,7,5,3
3.,Sample,8,4,9.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,7,6,2,false,false,7,5,3
3.,Sample,8,4,10.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,7,6,2,false,false,7,5,3
3.,Sample,8,4,11.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,7,6,2,false,false,7,5,3
3.,Sample,8,4,12.,1,false,true,false,false,false,false,true,true,true,true,false,6,6,3,false,false,8,5,2,false,false,7,5,3
