bias,cand_sampler,n_voters,n_candidates,time_steps,trial,ks_distance_start,cs_distance_start,ks_distance_true,cs_distance_true,entrywise_distance
1.3,Sample,9,3,1.,1,0.,0.,10.,8.,0.
1.3,Sample,9,3,6.,1,6.,4.,4.,4.,7.83218172561
1.3,Sample,9,3,11.,1,8.,6.,2.,2.,8.15683536282
1.3,Sample,9,3,16.,1,8.,6.,2.,2.,8.17299056998
1.3,Sample,9,3,21.,1,8.,6.,2.,2.,8.17386145891
1.3,Sample,9,3,26.,1,8.,6.,2.,2.,8.17391011216
1.3,Sample,9,3,31.,1,8.,6.,2.,2.,8.17391287562
1.3,Sample,9,3,36.,1,8.,6.,2.,2.,8.17391303383
1.3,Sample,9,3,41.,1,8.,6.,2.,2.,8.17391304292
1.3,Sample,9,3,46.,1,8.,6.,2.,2.,8.17391304345
1.3,Sample,9,3,51.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,56.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,61.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,66.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,71.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,76.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,81.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,86.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,91.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,96.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,101.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,106.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,111.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,116.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,121.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,126.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,131.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,136.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,141.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,146.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,151.,1,8.,6.,2.,2.,8.17391304348
1.3,Sample,9,3,1.,2,4.,4.,10.,10.,0.
1.3,Sample,9,3,6.,2,14.,14.,12.,12.,7.86638346484
1.3,Sample,9,3,11.,2,18.,18.,12.,12.,8.16115475431
1.3,Sample,9,3,16.,2,18.,18.,12.,12.,8.17334718788
1.3,Sample,9,3,21.,2,18.,18.,12.,12.,8.17388666549
1.3,Sample,9,3,26.,2,18.,18.,12.,12.,8.17391176297
1.3,Sample,9,3,31.,2,18.,18.,12.,12.,8.17391297914
1.3,Sample,9,3,36.,2,18.,18.,12.,12.,8.17391304015
1.3,Sample,9,3,41.,2,18.,18.,12.,12.,8.1739130433
1.3,Sample,9,3,46.,2,18.,18.,12.,12.,8.17391304347
1.3,Sample,9,3,51.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,56.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,61.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,66.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,71.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,76.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,81.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,86.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,91.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,96.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,101.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,106.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,111.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,116.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,121.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,126.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,131.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,136.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,141.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,146.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,151.,2,18.,18.,12.,12.,8.17391304348
1.3,Sample,9,3,1.,3,4.,4.,6.,6.,0.
1.3,Sample,9,3,6.,3,14.,14.,4.,4.,7.85235576125
1.3,Sample,9,3,11.,3,14.,14.,4.,4.,8.1595678323
1.3,Sample,9,3,16.,3,14.,14.,4.,4.,8.17322474818
1.3,Sample,9,3,21.,3,14.,14.,4.,4.,8.17387831287
1.3,Sample,9,3,26.,3,14.,14.,4.,4.,8.1739112245
1.3,Sample,9,3,31.,3,14.,14.,4.,4.,8.17391294554
1.3,Sample,9,3,36.,3,14.,14.,4.,4.,8.1739130381
1.3,Sample,9,3,41.,3,14.,14.,4.,4.,8.17391304318
1.3,Sample,9,3,46.,3,14.,14.,4.,4.,8.17391304346
1.3,Sample,9,3,51.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,56.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,61.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,66.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,71.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,76.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,81.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,86.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,91.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,96.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,101.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,106.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,111.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,116.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,121.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,126.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,131.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,136.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,141.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,146.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,151.,3,14.,14.,4.,4.,8.17391304348
1.3,Sample,9,3,1.,4,4.,4.,14.,12.,0.
1.3,Sample,9,3,6.,4,24.,22.,34.,28.,7.85906525673
1.3,Sample,9,3,11.,4,26.,22.,36.,30.,8.16013698618
1.3,Sample,9,3,16.,4,26.,22.,36.,30.,8.17325654408
1.3,Sample,9,3,21.,4,26.,22.,36.,30.,8.17387986456
1.3,Sample,9,3,26.,4,26.,22.,36.,30.,8.17391129613
1.3,Sample,9,3,31.,4,26.,22.,36.,30.,8.17391294876
