bias,cand_sampler,n_voters,n_candidates,time_steps,trial,ks_distance_start,cs_distance_start,ks_distance_true,cs_distance_true,entrywise_distance
1.3,Sample,31,3,1.,1,10.,10.,46.,44.,0.
1.3,Sample,31,3,6.,1,20.,20.,44.,42.,66.4367163216
1.3,Sample,31,3,11.,1,16.,14.,28.,28.,272.873651185
1.3,Sample,31,3,16.,1,34.,32.,34.,32.,1127.90694761
1.3,Sample,31,3,21.,1,68.,64.,56.,52.,4885.4898483
1.3,Sample,31,3,26.,1,92.,78.,80.,64.,22101.8924062
1.3,Sample,31,3,31.,1,94.,76.,82.,64.,101618.965307
1.3,Sample,31,3,36.,1,94.,76.,82.,64.,471602.11902
1.3,Sample,31,3,41.,1,94.,76.,82.,64.,2199030.89769
1.3,Sample,31,3,46.,1,94.,78.,82.,64.,10296040.8449
1.3,Sample,31,3,51.,1,96.,78.,84.,64.,48432967.4579
1.3,Sample,31,3,56.,1,96.,78.,84.,64.,230457912.755
1.3,Sample,31,3,61.,1,94.,76.,82.,62.,1102462252.04
1.3,Sample,31,3,66.,1,96.,76.,84.,62.,5298191119.3
1.3,Sample,31,3,71.,1,94.,74.,82.,60.,25524434397.9
1.3,Sample,31,3,76.,1,96.,78.,84.,64.,123069721351.
1.3,Sample,31,3,81.,1,96.,78.,84.,64.,593886084230.
1.3,Sample,31,3,86.,1,96.,78.,84.,64.,2.86815297856e+12
1.3,Sample,31,3,91.,1,96.,78.,84.,64.,1.38624285201e+13
1.3,Sample,31,3,96.,1,96.,78.,84.,64.,6.70509670258e+13
1.3,Sample,31,3,101.,1,96.,78.,84.,64.,3.24556726714e+14
1.3,Sample,31,3,106.,1,96.,80.,80.,64.,1.57212612872e+15
1.3,Sample,31,3,111.,1,104.,82.,88.,68.,7.62056069214e+15
1.3,Sample,31,3,116.,1,114.,96.,102.,84.,3.69641722658e+16
1.3,Sample,31,3,121.,1,100.,88.,96.,86.,1.7941612402e+17
1.3,Sample,31,3,126.,1,102.,88.,98.,86.,8.7140575427e+17
1.3,Sample,31,3,131.,1,122.,96.,118.,94.,4.234966773e+18
1.3,Sample,31,3,136.,1,148.,110.,152.,112.,2.0594084459e+19
1.3,Sample,31,3,141.,1,154.,110.,178.,124.,1.00322056515e+20
1.3,Sample,31,3,146.,1,154.,110.,178.,124.,4.90429015433e+20
1.3,Sample,31,3,151.,1,154.,110.,178.,124.,2.40186007091e+21
1.3,Sample,31,3,1.,2,0.,0.,42.,38.,0.
1.3,Sample,31,3,6.,2,8.,8.,42.,40.,52.1490124778
1.3,Sample,31,3,11.,2,12.,12.,46.,44.,193.380196496
1.3,Sample,31,3,16.,2,24.,24.,58.,56.,737.364741852
1.3,Sample,31,3,21.,2,76.,60.,102.,82.,3253.02799576
1.3,Sample,31,3,26.,2,90.,82.,108.,100.,15548.6639037
1.3,Sample,31,3,31.,2,92.,88.,102.,102.,77567.4306897
1.3,Sample,31,3,36.,2,90.,88.,104.,102.,404351.776617
1.3,Sample,31,3,41.,2,88.,86.,102.,102.,2117504.76892
1.3,Sample,31,3,46.,2,88.,86.,102.,102.,11121466.8027
1.3,Sample,31,3,51.,2,88.,86.,102.,102.,58426565.6356
1.3,Sample,31,3,56.,2,88.,86.,102.,102.,306924217.172
1.3,Sample,31,3,61.,2,88.,86.,102.,102.,1612261193.82
1.3,Sample,31,3,66.,2,88.,86.,102.,102.,8468951349.18
1.3,Sample,31,3,71.,2,88.,86.,102.,102.,44485432008.
1.3,Sample,31,3,76.,2,88.,86.,102.,102.,233669650120.
1.3,Sample,31,3,81.,2,88.,86.,102.,102.,1.22739562074e+12
1.3,Sample,31,3,86.,2,88.,86.,102.,102.,6.44711581148e+12
1.3,Sample,31,3,91.,2,88.,86.,102.,102.,3.38645685395e+13
1.3,Sample,31,3,96.,2,88.,86.,102.,102.,1.77879179662e+14
1.3,Sample,31,3,101.,2,88.,86.,102.,102.,9.34338795253e+14
1.3,Sample,31,3,106.,2,88.,86.,102.,102.,4.90776159988e+15
1.3,Sample,31,3,111.,2,92.,90.,106.,104.,2.57787835532e+16
1.3,Sample,31,3,116.,2,108.,94.,122.,102.,1.35407060996e+17
1.3,Sample,31,3,121.,2,86.,76.,96.,86.,7.11246530317e+17
1.3,Sample,31,3,126.,2,78.,74.,80.,70.,3.73593217799e+18
1.3,Sample,31,3,131.,2,98.,92.,72.,68.,1.96235596606e+19
1.3,Sample,31,3,136.,2,94.,86.,72.,68.,1.03075769752e+20
1.3,Sample,31,3,141.,2,92.,86.,62.,62.,5.41421349911e+20
1.3,Sample,31,3,146.,2,92.,86.,62.,62.,2.84389897181e+21
1.3,Sample,31,3,151.,2,92.,86.,62.,62.,1.49380169813e+22
1.3,Sample,31,3,1.,3,2.,2.,18.,18.,0.
1.3,Sample,31,3,6.,3,22.,22.,22.,22.,31.3694673448
1.3,Sample,31,3,11.,3,20.,20.,20.,20.,32.9586714338
1.3,Sample,31,3,16.,3,20.,20.,20.,20.,33.0391818744
1.3,Sample,31,3,21.,3,20.,20.,20.,20.,33.0432606022
1.3,Sample,31,3,26.,3,20.,20.,20.,20.,33.0434672341
1.3,Sample,31,3,31.,3,20.,20.,20.,20.,33.0434777022
1.3,Sample,31,3,36.,3,20.,20.,20.,20.,33.0434782326
1.3,Sample,31,3,41.,3,20.,20.,20.,20.,33.0434782594
1.3,Sample,31,3,46.,3,20.,20.,20.,20.,33.0434782608
1.3,Sample,31,3,51.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,56.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,61.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,66.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,71.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,76.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,81.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,86.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,91.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,96.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,101.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,106.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,111.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,116.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,121.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,126.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,131.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,136.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,141.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,146.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,151.,3,20.,20.,20.,20.,33.0434782609
1.3,Sample,31,3,1.,4,6.,6.,18.,16.,0.
1.3,Sample,31,3,6.,4,20.,18.,4.,4.,31.369711378
1.3,Sample,31,3,11.,4,24.,18.,0.,0.,32.9590132759
1.3,Sample,31,3,16.,4,24.,18.,0.,0.,33.0395330754
1.3,Sample,31,3,21.,4,24.,18.,0.,0.,33.0436125044
1.3,Sample,31,3,26.,4,24.,18.,0.,0.,33.0438191834
1.3,Sample,31,3,31.,4,24.,18.,0.,0.,33.0438296546
1.3,Sample,31,3,36.,4,24.,18.,0.,0.,33.0438301851
1.3,Sample,31,3,41.,4,24.,18.,0.,0.,33.0438302119
1.3,Sample,31,3,46.,4,24.,18.,0.,0.,33.0438302133
