bias,cand_sampler,n_voters,n_candidates,time_steps,trial,ks_distance_start,cs_distance_start,ks_distance_true,cs_distance_true,entrywise_distance
1.3,Sample,31,3,1.,1,0.,0.,16.,12.,0.
1.3,Sample,31,3,6.,1,16.,12.,0.,0.,31.3584192916
1.3,Sample,31,3,11.,1,16.,12.,0.,0.,32.9432539347
1.3,Sample,31,3,16.,1,16.,12.,0.,0.,33.0233504883
1.3,Sample,31,3,21.,1,16.,12.,0.,0.,33.0273985189
1.3,Sample,31,3,26.,1,16.,12.,0.,0.,33.0276031039
1.3,Sample,31,3,31.,1,16.,12.,0.,0.,33.0276134435
1.3,Sample,31,3,36.,1,16.,12.,0.,0.,33.0276139661
1.3,Sample,31,3,41.,1,16.,12.,0.,0.,33.0276139925
1.3,Sample,31,3,46.,1,16.,12.,0.,0.,33.0276139938
1.3,Sample,31,3,51.,1,16.,12.,0.,0.,33.0276139939
1.3,Sample,31,3,1.,2,30.,30.,64.,62.,0.
1.3,Sample,31,3,6.,2,116.,96.,130.,116.,31.3694673448
1.3,Sample,31,3,11.,2,122.,100.,132.,118.,32.9586714338
1.3,Sample,31,3,16.,2,122.,100.,132.,118.,33.0391818744
1.3,Sample,31,3,21.,2,122.,100.,132.,118.,33.0432606022
1.3,Sample,31,3,26.,2,122.,100.,132.,118.,33.0434672341
1.3,Sample,31,3,31.,2,122.,100.,132.,118.,33.0434777022
1.3,Sample,31,3,36.,2,122.,100.,132.,118.,33.0434782326
1.3,Sample,31,3,41.,2,122.,100.,132.,118.,33.0434782594
1.3,Sample,31,3,46.,2,122.,100.,132.,118.,33.0434782608
1.3,Sample,31,3,51.,2,122.,100.,132.,118.,33.0434782609
1.3,Sample,31,3,1.,3,6.,6.,36.,34.,0.
1.3,Sample,31,3,6.,3,38.,36.,20.,20.,32.729944622
1.3,Sample,31,3,11.,3,46.,44.,28.,28.,35.2619355533
1.3,Sample,31,3,16.,3,46.,44.,28.,28.,35.4733292758
1.3,Sample,31,3,21.,3,46.,44.,28.,28.,35.4918537356
1.3,Sample,31,3,26.,3,46.,44.,28.,28.,35.4935428551
1.3,Sample,31,3,31.,3,46.,44.,28.,28.,35.4937026845
1.3,Sample,31,3,36.,3,46.,44.,28.,28.,35.493718365
1.3,Sample,31,3,41.,3,46.,44.,28.,28.,35.493719959
1.3,Sample,31,3,46.,3,46.,44.,28.,28.,35.4937201267
1.3,Sample,31,3,51.,3,46.,44.,28.,28.,35.493720145
1.3,Sample,31,3,1.,4,6.,6.,30.,30.,0.
1.3,Sample,31,3,6.,4,26.,24.,10.,10.,31.3694673448
1.3,Sample,31,3,11.,4,30.,28.,6.,6.,32.9586714338
1.3,Sample,31,3,16.,4,30.,28.,6.,6.,33.0391818744
1.3,Sample,31,3,21.,4,30.,28.,6.,6.,33.0432606022
1.3,Sample,31,3,26.,4,30.,28.,6.,6.,33.0434672341
1.3,Sample,31,3,31.,4,30.,28.,6.,6.,33.0434777022
1.3,Sample,31,3,36.,4,30.,28.,6.,6.,33.0434782326
1.3,Sample,31,3,41.,4,30.,28.,6.,6.,33.0434782594
1.3,Sample,31,3,46.,4,30.,28.,6.,6.,33.0434782608
1.3,Sample,31,3,51.,4,30.,28.,6.,6.,33.0434782609
1.3,Sample,31,3,1.,5,12.,12.,36.,32.,0.
1.3,Sample,31,3,6.,5,96.,88.,108.,102.,31.3591803634
1.3,Sample,31,3,11.,5,110.,102.,118.,112.,32.9443160074
1.3,Sample,31,3,16.,5,110.,102.,118.,112.,33.0244410728
1.3,Sample,31,3,21.,5,110.,102.,118.,112.,33.0284912181
1.3,Sample,31,3,26.,5,110.,102.,118.,112.,33.0286959441
1.3,Sample,31,3,31.,5,110.,102.,118.,112.,33.0287062926
1.3,Sample,31,3,36.,5,110.,102.,118.,112.,33.0287068156
1.3,Sample,31,3,41.,5,110.,102.,118.,112.,33.0287068421
1.3,Sample,31,3,46.,5,110.,102.,118.,112.,33.0287068434
1.3,Sample,31,3,51.,5,110.,102.,118.,112.,33.0287068435
1.3,Sample,31,3,1.,6,18.,18.,38.,36.,0.
1.3,Sample,31,3,6.,6,64.,60.,68.,64.,31.3682564093
1.3,Sample,31,3,11.,6,72.,64.,64.,60.,32.9569820444
1.3,Sample,31,3,16.,6,72.,64.,64.,60.,33.0374471984
1.3,Sample,31,3,21.,6,72.,64.,64.,60.,33.0415225699
1.3,Sample,31,3,26.,6,72.,64.,64.,60.,33.0417289781
1.3,Sample,31,3,31.,6,72.,64.,64.,60.,33.0417394322
1.3,Sample,31,3,36.,6,72.,64.,64.,60.,33.0417399617
1.3,Sample,31,3,41.,6,72.,64.,64.,60.,33.0417399885
1.3,Sample,31,3,46.,6,72.,64.,64.,60.,33.0417399899
1.3,Sample,31,3,51.,6,72.,64.,64.,60.,33.04173999
1.3,Sample,31,3,1.,7,10.,10.,42.,42.,0.
1.3,Sample,31,3,6.,7,38.,36.,30.,30.,31.3694673448
1.3,Sample,31,3,11.,7,38.,36.,30.,30.,32.9586714338
1.3,Sample,31,3,16.,7,38.,36.,30.,30.,33.0391818744
1.3,Sample,31,3,21.,7,38.,36.,30.,30.,33.0432606022
1.3,Sample,31,3,26.,7,38.,36.,30.,30.,33.0434672341
1.3,Sample,31,3,31.,7,38.,36.,30.,30.,33.0434777022
1.3,Sample,31,3,36.,7,38.,36.,30.,30.,33.0434782326
1.3,Sample,31,3,41.,7,38.,36.,30.,30.,33.0434782594
1.3,Sample,31,3,46.,7,38.,36.,30.,30.,33.0434782608
1.3,Sample,31,3,51.,7,38.,36.,30.,30.,33.0434782609
1.3,Sample,31,3,1.,8,4.,4.,22.,22.,0.
1.3,Sample,31,3,6.,8,20.,20.,2.,2.,31.3694673448
1.3,Sample,31,3,11.,8,20.,20.,2.,2.,32.9586714338
1.3,Sample,31,3,16.,8,20.,20.,2.,2.,33.0391818744
1.3,Sample,31,3,21.,8,20.,20.,2.,2.,33.0432606022
1.3,Sample,31,3,26.,8,20.,20.,2.,2.,33.0434672341
1.3,Sample,31,3,31.,8,20.,20.,2.,2.,33.0434777022
1.3,Sample,31,3,36.,8,20.,20.,2.,2.,33.0434782326
1.3,Sample,31,3,41.,8,20.,20.,2.,2.,33.0434782594
1.3,Sample,31,3,46.,8,20.,20.,2.,2.,33.0434782608
1.3,Sample,31,3,51.,8,20.,20.,2.,2.,33.0434782609
1.3,Sample,31,3,1.,9,8.,8.,42.,42.,0.
1.3,Sample,31,3,6.,9,18.,18.,40.,40.,150.932323186
1.3,Sample,31,3,11.,9,44.,44.,54.,54.,2642.36557159
1.3,Sample,31,3,16.,9,94.,84.,104.,102.,63778.7208186
1.3,Sample,31,3,21.,9,96.,84.,106.,102.,1555059.77612
1.3,Sample,31,3,26.,9,96.,84.,106.,102.,37911506.1267
1.3,Sample,31,3,31.,9,96.,84.,106.,102.,924252097.283
1.3,Sample,31,3,36.,9,96.,84.,106.,102.,22532489535.4
1.3,Sample,31,3,41.,9,96.,84.,106.,102.,549323007506.
1.3,Sample,31,3,46.,9,96.,84.,106.,102.,1.33920288555e+13
1.3,Sample,31,3,51.,9,96.,84.,106.,102.,3.26486297599e+14
1.3,Sample,31,3,1.,10,8.,8.,32.,30.,0.
1.3,Sample,31,3,6.,10,36.,34.,20.,20.,31.3694673448
1.3,Sample,31,3,11.,10,36.,34.,20.,20.,32.9586714338
1.3,Sample,31,3,16.,10,36.,34.,20.,20.,33.0391818744
1.3,Sample,31,3,21.,10,36.,34.,20.,20.,33.0432606022
