bias,cand_sampler,n_voters,n_candidates,time_steps,trial,ks_distance_start,cs_distance_start,ks_distance_true,cs_distance_true,entrywise_distance
1.3,Sample,31,3,1.,1,8.,8.,14.,14.,0.
1.3,Sample,31,3,6.,1,20.,18.,2.,2.,31.3628872693
1.3,Sample,31,3,11.,1,20.,18.,2.,2.,32.9574532043
1.3,Sample,31,3,16.,1,20.,18.,2.,2.,33.0390472815
1.3,Sample,31,3,21.,1,20.,18.,2.,2.,33.0432486416
1.3,Sample,31,3,26.,1,20.,18.,2.,2.,33.0434662915
1.3,Sample,31,3,31.,1,20.,18.,2.,2.,33.0434776334
1.3,Sample,31,3,36.,1,20.,18.,2.,2.,33.0434782278
1.3,Sample,31,3,41.,1,20.,18.,2.,2.,33.0434782591
1.3,Sample,31,3,46.,1,20.,18.,2.,2.,33.0434782608
1.3,Sample,31,3,51.,1,20.,18.,2.,2.,33.0434782609
1.3,Sample,31,3,1.,2,8.,8.,26.,24.,0.
1.3,Sample,31,3,6.,2,26.,24.,0.,0.,31.3601650677
1.3,Sample,31,3,11.,2,28.,26.,2.,2.,32.956943856
1.3,Sample,31,3,16.,2,28.,26.,2.,2.,33.038990374
1.3,Sample,31,3,21.,2,28.,26.,2.,2.,33.0432435245
1.3,Sample,31,3,26.,2,28.,26.,2.,2.,33.0434658833
1.3,Sample,31,3,31.,2,28.,26.,2.,2.,33.0434776032
1.3,Sample,31,3,36.,2,28.,26.,2.,2.,33.0434782257
1.3,Sample,31,3,41.,2,28.,26.,2.,2.,33.043478259
1.3,Sample,31,3,46.,2,28.,26.,2.,2.,33.0434782608
1.3,Sample,31,3,51.,2,28.,26.,2.,2.,33.0434782609
1.3,Sample,31,3,1.,3,0.,0.,8.,6.,0.
1.3,Sample,31,3,6.,3,8.,6.,0.,0.,31.3546947245
1.3,Sample,31,3,11.,3,8.,6.,0.,0.,32.9438675207
1.3,Sample,31,3,16.,3,8.,6.,0.,0.,33.0247960454
1.3,Sample,31,3,21.,3,8.,6.,0.,0.,33.0289366788
1.3,Sample,31,3,26.,3,8.,6.,0.,0.,33.0291495103
1.3,Sample,31,3,31.,3,8.,6.,0.,0.,33.0291604997
1.3,Sample,31,3,36.,3,8.,6.,0.,0.,33.0291610697
1.3,Sample,31,3,41.,3,8.,6.,0.,0.,33.0291610994
1.3,Sample,31,3,46.,3,8.,6.,0.,0.,33.0291611009
1.3,Sample,31,3,51.,3,8.,6.,0.,0.,33.029161101
1.3,Sample,31,3,1.,4,6.,6.,50.,48.,0.
1.3,Sample,31,3,6.,4,38.,34.,38.,38.,31.362557904
1.3,Sample,31,3,11.,4,40.,36.,40.,40.,32.9578363736
1.3,Sample,31,3,16.,4,40.,36.,40.,40.,33.0395657557
1.3,Sample,31,3,21.,4,40.,36.,40.,40.,33.0437825751
1.3,Sample,31,3,26.,4,40.,36.,40.,40.,33.0440016467
1.3,Sample,31,3,31.,4,40.,36.,40.,40.,33.0440131043
1.3,Sample,31,3,36.,4,40.,36.,40.,40.,33.0440137074
1.3,Sample,31,3,41.,4,40.,36.,40.,40.,33.0440137393
1.3,Sample,31,3,46.,4,40.,36.,40.,40.,33.044013741
1.3,Sample,31,3,51.,4,40.,36.,40.,40.,33.0440137411
1.3,Sample,31,3,1.,5,16.,16.,74.,64.,0.
1.3,Sample,31,3,6.,5,80.,68.,74.,68.,31.3496617151
1.3,Sample,31,3,11.,5,84.,70.,78.,70.,32.9412131423
1.3,Sample,31,3,16.,5,86.,72.,76.,70.,33.022686839
1.3,Sample,31,3,21.,5,86.,72.,76.,70.,33.0268917562
1.3,Sample,31,3,26.,5,86.,72.,76.,70.,33.0271105068
1.3,Sample,31,3,31.,5,86.,72.,76.,70.,33.0271219746
1.3,Sample,31,3,36.,5,86.,72.,76.,70.,33.0271225802
1.3,Sample,31,3,41.,5,86.,72.,76.,70.,33.0271226124
1.3,Sample,31,3,46.,5,86.,72.,76.,70.,33.0271226141
1.3,Sample,31,3,51.,5,86.,72.,76.,70.,33.0271226142
1.3,Sample,31,3,1.,6,0.,0.,8.,6.,0.
1.3,Sample,31,3,6.,6,8.,6.,0.,0.,31.3556250686
1.3,Sample,31,3,11.,6,8.,6.,0.,0.,32.9518656694
1.3,Sample,31,3,16.,6,8.,6.,0.,0.,33.0339309517
1.3,Sample,31,3,21.,6,8.,6.,0.,0.,33.0381891658
1.3,Sample,31,3,26.,6,8.,6.,0.,0.,33.03841202
1.3,Sample,31,3,31.,6,8.,6.,0.,0.,33.0384237759
1.3,Sample,31,3,36.,6,8.,6.,0.,0.,33.0384244006
1.3,Sample,31,3,41.,6,8.,6.,0.,0.,33.038424434
1.3,Sample,31,3,46.,6,8.,6.,0.,0.,33.0384244358
1.3,Sample,31,3,51.,6,8.,6.,0.,0.,33.0384244359
1.3,Sample,31,3,1.,7,6.,6.,32.,30.,0.
1.3,Sample,31,3,6.,7,24.,22.,22.,22.,31.3488445806
1.3,Sample,31,3,11.,7,24.,22.,22.,22.,32.9416177561
1.3,Sample,31,3,16.,7,24.,22.,22.,22.,33.0233181123
1.3,Sample,31,3,21.,7,24.,22.,22.,22.,33.0275479404
1.3,Sample,31,3,26.,7,24.,22.,22.,22.,33.0277688947
1.3,Sample,31,3,31.,7,24.,22.,22.,22.,33.0277805355
1.3,Sample,31,3,36.,7,24.,22.,22.,22.,33.0277811537
1.3,Sample,31,3,41.,7,24.,22.,22.,22.,33.0277811868
1.3,Sample,31,3,46.,7,24.,22.,22.,22.,33.0277811886
1.3,Sample,31,3,51.,7,24.,22.,22.,22.,33.0277811887
1.3,Sample,31,3,1.,8,8.,8.,36.,32.,0.
1.3,Sample,31,3,6.,8,32.,32.,24.,24.,31.3621680081
1.3,Sample,31,3,11.,8,32.,32.,24.,24.,32.9578000614
1.3,Sample,31,3,16.,8,32.,32.,24.,24.,33.039596894
1.3,Sample,31,3,21.,8,32.,32.,24.,24.,33.0438210364
1.3,Sample,31,3,26.,8,32.,32.,24.,24.,33.0440407427
1.3,Sample,31,3,31.,8,32.,32.,24.,24.,33.044052249
1.3,Sample,31,3,36.,8,32.,32.,24.,24.,33.0440528556
1.3,Sample,31,3,41.,8,32.,32.,24.,24.,33.0440528877
1.3,Sample,31,3,46.,8,32.,32.,24.,24.,33.0440528895
1.3,Sample,31,3,51.,8,32.,32.,24.,24.,33.0440528895
1.3,Sample,31,3,1.,9,8.,8.,38.,34.,0.
1.3,Sample,31,3,6.,9,42.,38.,0.,0.,31.3403039441
1.3,Sample,31,3,11.,9,42.,38.,0.,0.,32.9390803568
1.3,Sample,31,3,16.,9,42.,38.,0.,0.,33.0219356248
1.3,Sample,31,3,21.,9,42.,38.,0.,0.,33.0262890498
1.3,Sample,31,3,26.,9,42.,38.,0.,0.,33.026520546
1.3,Sample,31,3,31.,9,42.,38.,0.,0.,33.0265329847
1.3,Sample,31,3,36.,9,42.,38.,0.,0.,33.0265336592
1.3,Sample,31,3,41.,9,42.,38.,0.,0.,33.026533696
1.3,Sample,31,3,46.,9,42.,38.,0.,0.,33.026533698
1.3,Sample,31,3,51.,9,42.,38.,0.,0.,33.0265336981
1.3,Sample,31,3,1.,10,2.,2.,22.,18.,0.
1.3,Sample,31,3,6.,10,20.,16.,0.,0.,31.3491460452
1.3,Sample,31,3,11.,10,20.,16.,0.,0.,32.9415105702
1.3,Sample,31,3,16.,10,20.,16.,0.,0.,33.0231231426
1.3,Sample,31,3,21.,10,20.,16.,0.,0.,33.0273420976
1.3,Sample,31,3,26.,10,20.,16.,0.,0.,33.0275619862
1.3,Sample,31,3,31.,10,20.,16.,0.,0.,33.0275735355
1.3,Sample,31,3,36.,10,20.,16.,0.,0.,33.0275741465
1.3,Sample,31,3,41.,10,20.,16.,0.,0.,33.0275741791
1.3,Sample,31,3,46.,10,20.,16.,0.,0.,33.0275741808
1.3,Sample,31,3,51.,10,20.,16.,0.,0.,33.0275741809
1.3,Sample,31,3,1.,11,4.,4.,20.,18.,0.
1.3,Sample,31,3,6.,11,32.,30.,32.,30.,3504.69934678
1.3,Sample,31,3,11.,11,124.,108.,120.,108.,1651146.25493
1.3,Sample,31,3,16.,11,120.,106.,116.,106.,784516870.393
1.3,Sample,31,3,21.,11,120.,106.,116.,106.,372747958212.
1.3,Sample,31,3,26.,11,120.,106.,116.,106.,1.7710392453e+14
1.3,Sample,31,3,31.,11,118.,104.,118.,104.,8.41474760663e+16
1.3,Sample,31,3,36.,11,76.,70.,84.,72.,3.99810322979e+19
1.3,Sample,31,3,41.,11,58.,58.,62.,62.,1.89962078284e+22
1.3,Sample,31,3,46.,11,58.,58.,62.,62.,9.02567770567e+24
1.3,Sample,31,3,51.,11,58.,58.,62.,62.,4.2883747526e+27
1.3,Sample,31,3,1.,12,0.,0.,18.,16.,0.
1.3,Sample,31,3,6.,12,14.,12.,4.,4.,64.0250367191
1.3,Sample,31,3,11.,12,16.,16.,26.,26.,290.8128649
1.3,Sample,31,3,16.,12,28.,28.,38.,38.,1481.72429764
1.3,Sample,31,3,21.,12,74.,74.,84.,82.,7915.09771245
1.3,Sample,31,3,26.,12,110.,80.,100.,70.,42791.9542544
1.3,Sample,31,3,31.,12,116.,82.,106.,72.,235953.022742
1.3,Sample,31,3,36.,12,120.,86.,110.,74.,1332217.03991
1.3,Sample,31,3,41.,12,120.,86.,110.,74.,7536774.76978
1.3,Sample,31,3,46.,12,120.,86.,110.,74.,42694229.0492
1.3,Sample,31,3,51.,12,120.,86.,110.,74.,242178316.845
1.3,Sample,31,3,1.,13,14.,14.,30.,30.,0.
1.3,Sample,31,3,6.,13,34.,32.,22.,22.,31.3496002205
1.3,Sample,31,3,11.,13,34.,32.,22.,22.,32.9409589037
1.3,Sample,31,3,16.,13,34.,32.,22.,22.,33.0224004552
1.3,Sample,31,3,21.,13,34.,32.,22.,22.,33.0266018774
1.3,Sample,31,3,26.,13,34.,32.,22.,22.,33.0268203162
1.3,Sample,31,3,31.,13,34.,32.,22.,22.,33.0268317592
1.3,Sample,31,3,36.,13,34.,32.,22.,22.,33.026832363
1.3,Sample,31,3,41.,13,34.,32.,22.,22.,33.0268323951
1.3,Sample,31,3,46.,13,34.,32.,22.,22.,33.0268323968
1.3,Sample,31,3,51.,13,34.,32.,22.,22.,33.0268323969
1.3,Sample,31,3,1.,14,4.,4.,40.,38.,0.
1.3,Sample,31,3,6.,14,32.,32.,16.,16.,31.3599399523
1.3,Sample,31,3,11.,14,32.,32.,16.,16.,32.9594189084
1.3,Sample,31,3,16.,14,32.,32.,16.,16.,33.0419019912
1.3,Sample,31,3,21.,14,32.,32.,16.,16.,33.0461995155
1.3,Sample,31,3,26.,14,32.,32.,16.,16.,33.0464255699
1.3,Sample,31,3,31.,14,32.,32.,16.,16.,33.0464375655
1.3,Sample,31,3,36.,14,32.,32.,16.,16.,33.0464382072
1.3,Sample,31,3,41.,14,32.,32.,16.,16.,33.0464382417
1.3,Sample,31,3,46.,14,32.,32.,16.,16.,33.0464382436
1.3,Sample,31,3,51.,14,32.,32.,16.,16.,33.0464382437
1.3,Sample,31,3,1.,15,2.,2.,34.,34.,0.
1.3,Sample,31,3,6.,15,32.,32.,28.,28.,31.3639850112
1.3,Sample,31,3,11.,15,44.,44.,28.,28.,32.9606282644
1.3,Sample,31,3,16.,15,44.,44.,28.,28.,33.0425457086
1.3,Sample,31,3,21.,15,44.,44.,28.,28.,33.0467808984
1.3,Sample,31,3,26.,15,44.,44.,28.,28.,33.0470015017
1.3,Sample,31,3,31.,15,44.,44.,28.,28.,33.0470130759
1.3,Sample,31,3,36.,15,44.,44.,28.,28.,33.0470136873
1.3,Sample,31,3,41.,15,44.,44.,28.,28.,33.0470137199
1.3,Sample,31,3,46.,15,44.,44.,28.,28.,33.0470137216
1.3,Sample,31,3,51.,15,44.,44.,28.,28.,33.0470137217
1.3,Sample,31,3,1.,16,4.,4.,20.,16.,0.
1.3,Sample,31,3,6.,16,20.,16.,4.,4.,30.2900848909
1.3,Sample,31,3,11.,16,22.,18.,14.,14.,70.6223515032
1.3,Sample,31,3,16.,16,44.,40.,40.,38.,203.946924326
1.3,Sample,31,3,21.,16,62.,60.,66.,64.,658.640568753
1.3,Sample,31,3,26.,16,90.,86.,98.,94.,2189.59285655
1.3,Sample,31,3,31.,16,118.,106.,142.,120.,7708.37564678
1.3,Sample,31,3,36.,16,156.,108.,180.,120.,27394.4671119
1.3,Sample,31,3,41.,16,156.,108.,180.,120.,97366.1667123
1.3,Sample,31,3,46.,16,156.,108.,180.,120.,346107.826957
1.3,Sample,31,3,51.,16,156.,108.,180.,120.,1230431.5549
