bias,cand_sampler,n_voters,n_candidates,time_steps,trial,sparse,grouped,credibility,knowledge,meta,substantative,cyclic_end,condorcet_end,unique_end,proximity_to_voter_sp_end,proximity_to_cand_sp_end,cyclic_true,condorcet_true,unique_true,proximity_to_voter_sp_true,proximity_to_cand_sp_true,ks_distance_true,cs_distance_true
0.46875,Sample,13,6,10.625,1,false,true,false,false,false,true,false,true,12,6,4,false,true,12,8,4,86.,80.
0.46875,Sample,13,6,10.625,1,false,true,false,false,false,true,false,true,10,7,4,false,true,11,8,4,130.,102.
0.46875,Sample,13,6,10.625,1,false,true,false,false,false,true,false,true,12,6,4,false,true,12,8,4,86.,80.
0.46875,Sample,13,6,10.625,1,false,true,false,false,false,true,false,true,10,7,4,false,true,11,8,4,130.,102.
0.46875,Sample,13,6,10.625,1,false,true,false,false,false,true,false,true,12,6,4,false,true,12,8,4,86.,80.
0.46875,Sample,13,6,10.625,1,false,true,false,false,false,true,false,true,10,7,4,false,true,11,8,4,130.,102.
0.46875,Sample,13,4,10.625,1,false,true,false,false,false,true,false,true,4,12,4,false,true,6,10,3,28.,24.
0.46875,Sample,13,6,0.625,1,false,true,false,false,false,true,false,true,9,7,3,false,true,11,8,4,84.,78.
0.46875,Sample,13,6,10.625,1,false,true,false,false,false,true,false,true,12,6,4,false,true,12,8,4,86.,80.
0.59375,Sample,13,6,10.625,1,false,true,false,false,false,true,false,true,10,7,4,false,true,11,8,4,130.,102.
0.59375,Sample,13,4,0.625,1,false,true,false,false,false,true,false,false,9,8,2,false,true,8,9,2,16.,16.
0.59375,Sample,13,4,0.625,1,false,true,false,false,false,true,false,true,8,9,2,false,true,5,12,4,26.,24.
0.59375,Sample,13,4,0.625,1,false,true,false,false,false,true,false,false,9,8,2,false,true,8,9,2,16.,16.
0.59375,Sample,13,4,0.625,1,false,true,false,false,false,true,false,true,8,9,2,false,true,5,12,4,26.,24.
0.59375,Sample,13,4,0.625,1,false,true,false,false,false,true,false,true,6,11,3,false,true,6,10,3,26.,24.
0.59375,Sample,13,6,0.625,1,false,true,false,false,false,true,false,true,11,7,3,false,true,11,8,4,80.,74.
0.59375,Sample,13,4,10.625,1,false,true,false,false,false,true,false,true,7,10,3,false,true,8,9,2,14.,14.
0.59375,Sample,13,4,0.625,1,false,true,false,false,false,true,false,true,8,9,2,false,true,5,12,4,26.,24.
0.46875,Sample,13,4,0.625,1,false,true,false,false,false,true,false,true,8,9,2,false,true,8,9,2,14.,14.
0.59375,Sample,13,4,0.625,1,false,true,false,false,false,true,false,true,8,9,2,false,true,5,12,4,26.,24.
0.96875,Sample,13,4,0.625,1,false,true,true,true,true,false,false,false,9,8,2,false,true,8,9,2,30.,28.
0.96875,Sample,13,4,0.625,1,false,true,true,true,true,false,false,true,7,11,3,false,true,5,12,4,16.,16.
0.96875,Sample,13,4,0.625,1,false,true,true,true,true,false,false,false,9,8,2,false,true,8,9,2,30.,28.
0.96875,Sample,13,4,0.625,1,false,true,true,true,true,false,false,true,7,11,3,false,true,5,12,4,16.,16.
0.96875,Sample,13,4,0.625,1,false,true,true,true,true,false,false,false,9,8,2,false,true,8,9,2,30.,28.
0.96875,Sample,13,4,0.625,1,false,true,true,true,true,false,false,true,7,11,3,false,true,5,12,4,16.,16.
0.96875,Sample,13,6,0.625,1,false,true,true,true,true,false,false,true,12,4,3,false,false,12,7,4,74.,64.
0.96875,Sample,13,4,10.625,1,false,true,true,true,true,false,false,true,7,11,3,false,true,5,12,4,16.,16.
0.96875,Sample,13,4,0.625,1,false,true,true,true,true,false,false,false,9,8,2,false,true,8,9,2,30.,28.
0.09375,Sample,13,4,0.625,1,false,true,true,true,true,false,false,true,7,11,3,false,true,5,12,4,16.,16.
0.09375,Sample,13,6,10.625,1,false,true,true,true,true,false,false,false,11,6,3,false,true,12,8,4,58.,50.
0.09375,Sample,13,6,10.625,1,false,true,true,true,true,false,false,true,12,5,3,false,true,11,8,4,58.,54.
0.09375,Sample,13,6,10.625,1,false,true,true,true,true,false,false,false,11,6,3,false,true,12,8,4,58.,50.
0.09375,Sample,13,6,10.625,1,false,true,true,true,true,false,false,true,12,5,3,false,true,11,8,4,58.,54.
0.09375,Sample,13,6,10.625,1,false,true,true,true,true,false,false,true,12,4,3,false,false,12,7,4,74.,64.
0.09375,Sample,13,4,10.625,1,false,true,true,true,true,false,false,true,7,11,3,false,true,5,12,4,16.,16.
0.09375,Sample,13,6,0.625,1,false,true,true,true,true,false,false,false,11,6,3,false,true,12,8,4,58.,50.
0.09375,Sample,13,6,10.625,1,false,true,true,true,true,false,false,true,12,5,3,false,true,11,8,4,58.,54.
0.96875,Sample,13,6,10.625,1,false,true,true,true,true,false,false,false,11,6,3,false,true,12,8,4,58.,50.
0.09375,Sample,13,6,10.625,1,false,true,true,true,true,false,false,true,12,5,3,false,true,11,8,4,58.,54.
0.71875,Sample,13,3,15.625,1,false,true,true,false,false,true,false,true,2,12,3,false,true,3,12,3,12.,12.
0.71875,Sample,13,3,15.625,1,false,true,true,false,false,true,false,true,2,12,3,false,true,2,12,3,6.,6.
0.71875,Sample,13,3,15.625,1,false,true,true,true,false,true,false,false,4,11,2,false,true,3,12,3,22.,22.
0.71875,Sample,13,3,15.625,1,false,true,true,false,true,true,false,true,2,12,3,false,true,2,12,3,6.,6.
0.71875,Sample,13,3,15.625,1,false,true,true,false,false,true,false,true,2,12,3,false,true,3,12,3,12.,12.
0.71875,Sample,13,3,15.625,1,false,true,true,false,false,true,false,true,2,12,3,false,true,2,12,3,6.,6.
0.71875,Sample,13,5,15.625,1,false,true,true,false,false,true,false,false,8,9,3,false,true,7,10,4,50.,42.
0.71875,Sample,13,3,5.625,1,false,true,true,false,false,true,false,true,2,12,3,false,true,2,12,3,6.,6.
0.71875,Sample,13,3,15.625,1,false,true,true,false,false,true,false,true,2,12,3,false,true,3,12,3,12.,12.
0.84375,Sample,13,3,15.625,1,false,true,true,false,false,true,false,true,2,12,3,false,true,2,12,3,6.,6.
0.84375,Sample,13,5,5.625,1,false,true,true,true,true,true,false,true,10,8,3,false,true,10,9,3,68.,58.
0.84375,Sample,13,5,5.625,1,false,true,true,false,true,true,false,true,10,6,3,false,true,10,6,3,58.,54.
0.84375,Sample,13,5,5.625,1,false,true,true,true,false,true,false,true,10,8,3,false,true,10,9,3,68.,58.
0.84375,Sample,13,5,5.625,1,false,true,true,true,true,true,false,true,11,7,3,false,true,10,6,3,66.,60.
0.84375,Sample,13,5,5.625,1,false,true,true,true,true,true,false,false,8,9,3,false,true,7,10,4,64.,58.
0.84375,Sample,13,3,5.625,1,false,true,true,true,true,true,false,false,2,12,3,false,true,2,12,3,12.,12.
0.84375,Sample,13,5,15.625,1,false,true,true,true,true,true,false,true,10,8,3,false,true,10,9,3,68.,58.
0.84375,Sample,13,5,5.625,1,false,true,true,true,true,true,false,true,11,7,3,false,true,10,6,3,66.,60.
0.71875,Sample,13,5,5.625,1,false,true,true,true,true,true,false,true,10,8,3,false,true,10,9,3,68.,58.
0.84375,Sample,13,5,5.625,1,false,true,true,true,true,true,false,true,11,7,3,false,true,10,6,3,66.,60.
0.21875,Sample,13,5,5.625,1,false,true,false,true,true,false,false,true,10,7,3,false,true,10,9,3,36.,34.
0.21875,Sample,13,5,5.625,1,false,true,false,true,true,false,false,false,12,5,3,false,true,10,6,3,52.,48.
0.21875,Sample,13,5,5.625,1,false,true,false,false,true,false,false,true,10,7,3,false,true,9,7,3,52.,48.
0.21875,Sample,13,5,5.625,1,false,true,false,true,false,false,false,true,9,10,4,false,true,7,11,4,36.,34.
0.21875,Sample,13,5,5.625,1,false,true,false,true,true,false,false,true,7,9,3,false,true,7,10,4,42.,38.
0.21875,Sample,13,5,5.625,1,false,true,false,true,true,false,false,false,9,9,4,false,true,9,9,4,40.,36.
0.21875,Sample,13,3,5.625,1,false,true,false,true,true,false,false,true,3,12,3,false,true,1,12,3,8.,8.
0.21875,Sample,13,5,15.625,1,false,true,false,true,true,false,false,true,10,9,3,false,true,8,8,3,44.,42.
0.21875,Sample,13,5,5.625,1,false,true,false,true,true,false,false,true,8,9,3,false,true,5,12,5,32.,26.
0.34375,Sample,13,5,5.625,1,false,true,false,true,true,false,false,true,10,8,3,false,true,10,8,3,54.,48.
0.34375,Sample,13,3,15.625,1,false,true,false,false,false,false,false,true,3,12,3,false,false,2,12,3,12.,12.
0.34375,Sample,13,3,15.625,1,false,true,false,true,false,false,false,true,4,12,3,false,true,3,12,3,16.,14.
0.34375,Sample,13,3,15.625,1,false,true,false,false,true,false,false,true,5,11,2,false,true,2,12,3,12.,12.
0.34375,Sample,13,3,15.625,1,false,true,false,false,false,false,false,true,5,11,2,false,true,4,11,2,16.,16.
0.34375,Sample,13,3,15.625,1,false,true,false,false,false,false,false,true,4,11,2,false,true,3,12,3,10.,8.
0.34375,Sample,13,5,15.625,1,false,true,false,false,false,false,false,true,11,6,3,false,true,8,9,3,64.,54.
0.34375,Sample,13,3,5.625,1,false,true,false,false,false,false,false,true,4,12,3,false,true,2,12,3,12.,12.
0.34375,Sample,13,3,15.625,1,false,true,false,false,false,false,false,true,4,12,3,false,true,3,12,3,6.,6.
